"date","bonds"
1980-01-01,37.52
1980-01-02,37.15
1980-01-03,36.94
1980-01-04,36.85
1980-01-07,36.92
1980-01-08,37.06
1980-01-09,37.06
1980-01-10,37.21
1980-01-11,36.87
1980-01-14,36.84
1980-01-15,36.96
1980-01-16,36.97
1980-01-17,36.86
1980-01-18,36.64
1980-01-21,36.37
1980-01-22,36.61
1980-01-23,36.69
1980-01-24,36.29
1980-01-25,36.13
1980-01-28,36.03
1980-01-29,35.93
1980-01-30,36.03
1980-01-31,36.11
1980-02-01,35.81
1980-02-04,35.59
1980-02-05,34.94
1980-02-06,34.58
1980-02-07,35.01
1980-02-08,34.88
1980-02-11,34.47
1980-02-12,34.48
1980-02-13,34.77
1980-02-14,34.56
1980-02-15,34.19
1980-02-18,34.2
1980-02-19,32.97
1980-02-20,33.01
1980-02-21,32.34
1980-02-22,32.64
1980-02-25,32.27
1980-02-26,31.63
1980-02-27,31.98
1980-02-28,33.05
1980-02-29,33.34
1980-03-03,33.19
1980-03-04,32.99
1980-03-05,32.79
1980-03-06,32.76
1980-03-07,33.2
1980-03-10,33.62
1980-03-11,34.03
1980-03-12,33.66
1980-03-13,33.87
1980-03-14,33.88
1980-03-17,33.78
1980-03-18,34.13
1980-03-19,34.25
1980-03-20,34.26
1980-03-21,33.53
1980-03-24,32.79
1980-03-25,32.94
1980-03-26,33.09
1980-03-27,33.21
1980-03-28,33.68
1980-03-31,33.84
1980-04-01,33.76
1980-04-02,33.88
1980-04-03,34.09
1980-04-04,34.13
1980-04-07,34.14
1980-04-08,34.74
1980-04-09,35.04
1980-04-10,35.05
1980-04-11,35.08
1980-04-14,35.95
1980-04-15,36.05
1980-04-16,37.44
1980-04-17,37
1980-04-18,37.18
1980-04-21,37.51
1980-04-22,37.68
1980-04-23,37.55
1980-04-24,37.41
1980-04-25,37.46
1980-04-28,38.17
1980-04-29,38.09
1980-04-30,37.9
1980-05-01,38.32
1980-05-02,39.11
1980-05-05,39.18
1980-05-06,40.19
1980-05-07,39.75
1980-05-08,39.25
1980-05-09,38.96
1980-05-12,39.15
1980-05-13,39.44
1980-05-14,39.37
1980-05-15,39
1980-05-16,38.87
1980-05-19,38.54
1980-05-20,39.28
1980-05-21,39.61
1980-05-22,39.57
1980-05-23,40.2
1980-05-26,40.21
1980-05-27,39.96
1980-05-28,39.97
1980-05-29,39.32
1980-05-30,39.34
1980-06-02,39.07
1980-06-03,39.43
1980-06-04,39.6
1980-06-05,39.86
1980-06-06,40.34
1980-06-09,40.73
1980-06-10,40.62
1980-06-11,40.64
1980-06-12,40.79
1980-06-13,41
1980-06-16,41.1
1980-06-17,41.19
1980-06-18,41.13
1980-06-19,41.09
1980-06-20,41.17
1980-06-23,41.06
1980-06-24,41.04
1980-06-25,40.48
1980-06-26,41.19
1980-06-27,40.85
1980-06-30,40.47
1980-07-01,40.32
1980-07-02,40.2
1980-07-03,40.48
1980-07-04,40.51
1980-07-07,40.52
1980-07-08,40.39
1980-07-09,40.43
1980-07-10,40.33
1980-07-11,40.09
1980-07-14,40.02
1980-07-15,40.27
1980-07-16,40.36
1980-07-17,40.06
1980-07-18,40.13
1980-07-21,40.25
1980-07-22,40.04
1980-07-23,40.1
1980-07-24,39.84
1980-07-25,39.78
1980-07-28,39.64
1980-07-29,39.57
1980-07-30,39.42
1980-07-31,38.75
1980-08-01,38.8
1980-08-04,39.19
1980-08-05,39.01
1980-08-06,38.73
1980-08-07,38.88
1980-08-08,38.67
1980-08-11,38.31
1980-08-12,38.21
1980-08-13,38.28
1980-08-14,38.37
1980-08-15,38.34
1980-08-18,37.95
1980-08-19,37.77
1980-08-20,37.78
1980-08-21,37.73
1980-08-22,38.02
1980-08-25,37.53
1980-08-26,37.73
1980-08-27,37.33
1980-08-28,37.34
1980-08-29,37.7
1980-09-01,37.71
1980-09-02,38.24
1980-09-03,38.81
1980-09-04,38.63
1980-09-05,38.59
1980-09-08,38.4
1980-09-09,38.64
1980-09-10,38.77
1980-09-11,38.36
1980-09-12,38.3
1980-09-15,37.75
1980-09-16,37.98
1980-09-17,37.89
1980-09-18,37.99
1980-09-19,38.48
1980-09-22,37.69
1980-09-23,37.54
1980-09-24,37.58
1980-09-25,37.25
1980-09-26,37.11
1980-09-29,36.95
1980-09-30,37.4
1980-10-01,37.58
1980-10-02,37.5
1980-10-03,38.47
1980-10-06,38.6
1980-10-07,38.44
1980-10-08,38.25
1980-10-09,38.54
1980-10-10,38.47
1980-10-13,38.48
1980-10-14,38.65
1980-10-15,38.84
1980-10-16,38.44
1980-10-17,38.15
1980-10-20,38.12
1980-10-21,38.01
1980-10-22,37.63
1980-10-23,37.77
1980-10-24,38.1
1980-10-27,37.15
1980-10-28,36.77
1980-10-29,36.46
1980-10-30,36.47
1980-10-31,36.55
1980-11-03,36.56
1980-11-04,36.57
1980-11-05,36.27
1980-11-06,35.61
1980-11-07,36.29
1980-11-10,36.25
1980-11-11,36.26
1980-11-12,37.24
1980-11-13,37.08
1980-11-14,36.54
1980-11-17,36.2
1980-11-18,37
1980-11-19,37.18
1980-11-20,37.06
1980-11-21,36.62
1980-11-24,36.73
1980-11-25,36.82
1980-11-26,37
1980-11-27,37.01
1980-11-28,36.9
1980-12-01,36.5
1980-12-02,36.52
1980-12-03,36.53
1980-12-04,36.57
1980-12-05,36.72
1980-12-08,36.73
1980-12-09,36.25
1980-12-10,36.16
1980-12-11,35.37
1980-12-12,36.11
1980-12-15,36.03
1980-12-16,35.56
1980-12-17,36.01
1980-12-18,36.14
1980-12-19,37.33
1980-12-22,38.38
1980-12-23,37.95
1980-12-24,37.82
1980-12-25,37.83
1980-12-26,38.23
1980-12-29,38.34
1980-12-30,37.96
1980-12-31,37.88
1981-01-01,37.9
1981-01-02,37.95
1981-01-05,38.54
1981-01-06,38.62
1981-01-07,38.07
1981-01-08,38.12
1981-01-09,37.73
1981-01-12,37.99
1981-01-13,37.83
1981-01-14,37.86
1981-01-15,37.7
1981-01-16,37.89
1981-01-19,37.68
1981-01-20,37.99
1981-01-21,37.46
1981-01-22,37.27
1981-01-23,37.37
1981-01-26,37.67
1981-01-27,37.6
1981-01-28,37.49
1981-01-29,37.5
1981-01-30,37.76
1981-02-02,37.43
1981-02-03,37.22
1981-02-04,37.44
1981-02-05,37.29
1981-02-06,37.08
1981-02-09,36.89
1981-02-10,36.71
1981-02-11,36.47
1981-02-12,36.48
1981-02-13,36.09
1981-02-16,36.1
1981-02-17,36.72
1981-02-18,36.78
1981-02-19,37.2
1981-02-20,37.62
1981-02-23,37.05
1981-02-24,37.04
1981-02-25,36.88
1981-02-26,36.55
1981-02-27,36.67
1981-03-02,36.33
1981-03-03,36.69
1981-03-04,36.67
1981-03-05,36.73
1981-03-06,37.2
1981-03-09,37.45
1981-03-10,37.49
1981-03-11,37.44
1981-03-12,37.62
1981-03-13,37.96
1981-03-16,38
