"date","copper"
1986-04-01,1448
1986-04-02,1432.89
1986-04-03,1412.07
1986-04-04,1414.8
1986-04-07,1421.74
1986-04-08,1431.07
1986-04-09,1427.15
1986-04-10,1430.21
1986-04-11,1436.73
1986-04-14,1436.48
1986-04-15,1430.43
1986-04-16,1441.69
1986-04-17,1442.01
1986-04-18,1437.26
1986-04-21,1432.51
1986-04-22,1422.59
1986-04-23,1453.42
1986-04-24,1439.15
1986-04-25,1418.83
1986-04-28,1435.97
1986-04-29,1430.66
1986-04-30,1429.17
1986-05-01,1433.31
1986-05-02,1434.61
1986-05-05,NA
1986-05-06,1443.99
1986-05-07,1438.36
1986-05-08,1437.6
1986-05-09,1434.19
1986-05-12,1429.35
1986-05-13,1430.29
1986-05-14,1429
1986-05-15,1423.28
1986-05-16,1427.9
1986-05-19,1423.79
1986-05-20,1398.4
1986-05-21,1399.48
1986-05-22,1400.49
1986-05-23,1390.54
1986-05-26,NA
1986-05-27,1394.27
1986-05-28,1384.77
1986-05-29,1385.76
1986-05-30,1393.93
1986-06-02,1403.57
1986-06-03,1401.36
1986-06-04,1389.42
1986-06-05,1414.45
1986-06-06,1446.45
1986-06-09,1437.17
1986-06-10,1460.94
1986-06-11,1441.11
1986-06-12,1461.34
1986-06-13,1454.94
1986-06-16,1450.66
1986-06-17,1424.78
1986-06-18,1417.97
1986-06-19,1415.83
1986-06-20,1395.64
1986-06-23,1387.28
1986-06-24,1397.3
1986-06-25,1372.46
1986-06-26,1337.61
1986-06-27,1331.96
1986-06-30,1395.35
1986-07-01,1403.52
1986-07-02,1403.84
1986-07-03,1416.1
1986-07-04,1412.23
1986-07-07,1405.99
1986-07-08,1389.29
1986-07-09,1329.41
1986-07-10,1327.26
1986-07-11,1331.94
1986-07-14,1321.19
1986-07-15,1340.33
1986-07-16,1334.15
1986-07-17,1331.25
1986-07-18,1304.64
1986-07-21,1335.52
1986-07-22,1333.49
1986-07-23,1326.48
1986-07-24,1338.85
1986-07-25,1330.34
1986-07-28,1320.77
1986-07-29,1332.65
1986-07-30,1330.94
1986-07-31,1305.74
1986-08-01,1309.16
1986-08-04,1292.13
1986-08-05,1291.19
1986-08-06,1299.83
1986-08-07,1298.25
1986-08-08,1299.58
1986-08-11,1323.85
1986-08-12,1309.61
1986-08-13,1308.92
1986-08-14,1314.23
1986-08-15,1310.43
1986-08-18,1290.35
1986-08-19,1299.52
1986-08-20,1297.76
1986-08-21,1311.81
1986-08-22,1304.88
1986-08-25,NA
1986-08-26,1292.15
1986-08-27,1296.97
1986-08-28,1298.14
1986-08-29,1306.7
1986-09-01,NA
1986-09-02,1312.63
1986-09-03,1343.63
1986-09-04,1361.59
1986-09-05,1354.41
1986-09-08,1348.11
1986-09-09,1350.68
1986-09-10,1350
1986-09-11,1349.71
1986-09-12,1357.17
1986-09-15,1348.77
1986-09-16,1346.73
1986-09-17,1363.73
1986-09-18,1354.5
1986-09-19,1370.81
1986-09-22,1370.91
1986-09-23,1349.47
1986-09-24,1338.84
