"date","dominant_regime","regime_prob","rolling_dd","daily_return","cum_return_window"
2008-10-27,1,1,-0.149730427004006,-0.010892929588782,-0.146455551836246
2008-10-28,1,1,-0.147130848088003,0.0212694380130499,-0.128460988990956
2008-10-17,1,1,-0.142207709662493,-0.0038882258533148,-0.142207709662493
2008-10-18,1,1,-0.142207709662493,0,-0.142207709662493
2008-10-10,1,1,-0.141977070683491,-0.0432539092787535,-0.111196259727308
2008-10-11,1,1,-0.141977070683491,0,-0.111196259727308
2008-10-12,1,1,-0.141977070683491,0,-0.111196259727308
2008-10-24,1,1,-0.138978076819573,-0.0139253592185709,-0.138978076819573
2008-10-25,1,1,-0.138978076819573,0,-0.138978076819573
2008-10-26,1,1,-0.138837497415224,0,-0.138978076819573
2008-10-16,1,1,-0.138319483809178,-0.0182394588840994,-0.143734640033653
2008-10-29,1,1,-0.129135496892978,0.012624501261052,-0.113236908813901
2008-10-22,1,1,-0.128967449548847,-0.0342443975821286,-0.151635203503565
2008-10-23,1,1,-0.127053970125759,0.00200125252475736,-0.12696619702409
2008-10-15,1,1,-0.125495181149554,-0.0188452804468065,-0.118264694670334
2008-10-19,1,1,-0.123680871937993,0,-0.142207709662493
2008-10-20,1,1,-0.123680871937993,0.0184680218514201,-0.104652182200539
2008-10-21,1,1,-0.120323704042187,-0.01553512373067,-0.120747973817242
2008-10-14,1,1,-0.115869814016718,-0.00964867564102654,-0.103028093279644
2008-10-13,1,1,-0.115869814016718,0.0188685889549972,-0.123108481728494
2008-10-30,1,1,-0.104750176569221,-0.0116007222192061,-0.106842279838082
2008-10-31,1,1,-0.104750176569221,0.00331960107760101,-0.0602687694817272
2008-11-01,1,1,-0.104750176569221,0,-0.0602687694817272
2008-11-02,1,1,-0.104750176569221,0,-0.0602687694817272
2008-10-09,1,1,-0.098723161404738,-0.0179953511950255,-0.0490576362199243
2020-03-18,4,1,-0.0965044473223265,-0.0291892875514971,-0.0893221899256729
2020-03-19,4,1,-0.0965044473223265,0.0107969263250237,-0.0663629273779167
2020-03-20,4,1,-0.0965044473223265,-0.00799519237435209,-0.0718325835096675
2020-03-21,4,1,-0.0965044473223265,0,-0.0718325835096675
2020-03-22,4,1,-0.0965044473223265,0,-0.0718325835096675
2020-03-23,5,1,-0.0965044473223265,0.0049745030055639,-0.0795423624272295
2020-03-24,5,1,-0.0965044473223265,0.0236330119963992,-0.054217136962848
2008-11-03,1,1,-0.0951015009281947,-0.0109158570548944,-0.0900532154916187
2020-03-25,5,1,-0.090826844327636,0.00239465785888258,-0.0627005405108093
2020-03-26,5,1,-0.0891528234397115,0.0120599575091043,-0.0449629800070145
2020-03-27,5,1,-0.0891528234397115,-0.00894547817113316,-0.0522344372902231
2020-03-28,5,1,-0.0891528234397115,0,-0.0522344372902231
2008-11-20,1,1,-0.0844227818349692,-0.0110814372426947,-0.0489174053367119
2008-11-21,1,1,-0.0844227818349692,0.0288353920545144,-0.0234016143597985
2008-11-22,1,1,-0.0844227818349692,0,-0.0234016143597985
2008-11-23,1,1,-0.0844227818349692,0,-0.0234016143597985
2008-11-24,1,1,-0.0844227818349692,0.0242893631232356,0.0118036058183315
2008-10-07,1,1,-0.0814031064614696,0.00327487516775994,0.00886289424305318
2008-10-06,1,1,-0.0814031064614696,-0.00341545457210862,-0.00325067769223857
2008-10-08,1,1,-0.0814031064614696,-0.00259957891600283,-0.0307093204551649
2008-11-12,1,1,-0.0799365207451951,-0.0226096130904778,-0.0449549634746375
2008-11-13,1,1,-0.0799365207451951,0.0258773742577517,-0.0210788417416431
2008-11-14,1,1,-0.0799365207451951,-0.00518005557651893,-0.0123335380995912
2008-11-15,1,1,-0.0799365207451951,0,-0.0123335380995912
2008-11-16,1,1,-0.0799365207451951,0,-0.0123335380995912
2008-11-17,1,1,-0.0799365207451951,-0.00994688694311165,-0.0113874954539209
2008-11-18,1,1,-0.0799365207451951,0.00311175717850555,-0.0295451762884653
2008-11-19,1,1,-0.0799365207451951,-0.00726701276370606,-0.0494366903132233
2008-10-03,1,1,-0.077987651889361,-0.00191347942308795,-0.00338612786981404
2008-10-04,1,1,-0.077987651889361,0,-0.00338612786981404
2008-10-05,1,1,-0.077987651889361,0,-0.00338612786981404
2020-03-12,4,1,-0.0767533371973761,-0.0276565990587863,-0.0764969034554564
2020-03-13,4,1,-0.0767533371973761,0.019839995011929,-0.0569133421854471
2020-03-14,4,1,-0.0767533371973761,0,-0.0569133421854471
2020-03-16,4,1,-0.0765838731040575,-0.029373713175611,-0.0802358335902891
2020-03-17,4,1,-0.0765838731040575,0.00926871333322803,-0.0610994524291079
2008-11-04,1,1,-0.0762562204813881,0.0431016324755507,-0.0373029073750415
2008-10-02,1,1,-0.076074172466273,-0.0226677539547184,0.00296570933977916
2020-03-29,5,1,-0.0738284204939928,0,-0.0522344372902231
2020-03-30,5,1,-0.0738284204939928,0.00935935963548864,-0.0215822438382399
2008-11-05,1,1,-0.072596557595394,-0.0290194018418075,-0.0474770287700424
2008-11-06,1,1,-0.072596557595394,-0.0223026102391999,-0.051540180125143
2008-11-07,1,1,-0.072596557595394,0.00493368639580345,-0.0427182678760247
2008-11-08,1,1,-0.072596557595394,0,-0.0427182678760247
2008-11-09,1,1,-0.072596557595394,0,-0.0427182678760247
2020-03-15,4,1,-0.070702115426607,0,-0.0569133421854471
2008-12-05,1,1,-0.0665979683078239,-0.0150175077761756,-0.0201597914972884
2008-12-06,1,1,-0.0665979683078239,0,-0.0201597914972884
2008-12-07,1,1,-0.0665979683078239,0,-0.0201597914972884
2008-12-08,1,1,-0.0665979683078239,0.0152502435965358,0.00503733904235906
2008-12-09,1,1,-0.0665979683078239,-0.00376131684318923,-0.00183573497933571
2008-12-10,1,1,-0.0665979683078239,0.0179706504649474,0.0234019282493178
2008-12-11,1,1,-0.0665979683078239,0.0188759316083426,0.0533592971003551
2008-12-12,1,1,-0.0665979683078239,-0.00219250929795526,0.0223313957478854
2008-12-13,1,1,-0.0665979683078239,0,0.0223313957478854
2008-12-14,1,1,-0.0665979683078239,0,0.0223313957478854
2008-12-15,1,1,-0.0665979683078239,0.00330931484354186,0.00135134746819166
2008-12-16,1,1,-0.0665979683078239,0.0122752963883897,0.0178094951558813
2008-12-17,1,1,-0.0665979683078239,-0.00318319748384612,-0.000723504502245691
2008-12-18,1,1,-0.0665979683078239,-0.0135441327018015,-0.0154688943878482
2008-12-19,1,1,-0.0665979683078239,-0.0170891295750471,-0.0386868173079057
2008-12-20,1,1,-0.0665979683078239,0,-0.0386868173079057
2008-09-17,1,1,-0.0646875372293553,0.0369726357822153,-0.0270530404135991
2008-09-16,1,1,-0.0646875372293553,-0.00883869676753183,-0.0593183794312563
2008-09-18,1,1,-0.0609684188262275,0.000352964569733844,-0.0273619368774062
2008-09-19,1,1,-0.0609684188262275,0.0188847142286302,-0.00475810424564818
2008-09-20,1,1,-0.0609684188262275,0,-0.00475810424564818
2013-04-15,3,0.99999999999977,-0.0598992517854749,-0.0336644233294406,-0.0546447351692984
2013-04-16,4,1,-0.0598992517854749,0.00444266750798096,-0.0517767768833351
2008-09-10,1,1,-0.0597637644492847,-0.0103287665321957,-0.0439130493256448
2013-04-18,4,1,-0.0595248164254988,0.004816299874593,-0.0509448926315339
2013-04-17,4,1,-0.0595248164254988,-0.000950507845445249,-0.0564070921229391
2013-04-19,4,1,-0.0595248164254988,0.0036049224528718,-0.0473948236223251
2013-04-20,4,1,-0.0595248164254988,0,-0.0473948236223251
2013-04-21,3,0.999999999996004,-0.0595248164254988,0,-0.0473948236223251
2013-06-26,4,1,-0.0592477581048952,-0.00971299279624044,-0.0544836548464201
2008-11-11,1,1,-0.0573269076547174,-0.0164032026531796,-0.0565897479662883
2013-04-23,4,1,-0.0572336899098365,-0.00132047177194771,-0.0368338974973329
2013-04-24,4,1,-0.0572336899098365,0.00627009205855271,-0.0250432542813756
2013-04-26,4,1,-0.0572336899098365,-0.000224788038570458,-0.0221254484105936
2013-04-27,4,1,-0.0572336899098365,0,-0.0221254484105936
2013-04-28,3,0.999999999999572,-0.0572336899098365,0,-0.0221254484105936
2013-04-22,3,0.999999999996733,-0.0572336899098365,0.0069011453395303,-0.040710289095968
2013-04-25,4,1,-0.0572336899098365,0.00975915177977221,-0.0151957880423493
2013-04-29,3,0.999999999999303,-0.0572336899098365,0.00410658176315769,-0.016778614975757
2020-03-31,5,1,-0.0571108914407374,0.000591147466707943,-0.0269595272423078
2008-11-10,1,1,-0.0570614338647241,0.00546462068366615,-0.0557216690437787
2008-09-21,1,1,-0.0568974388208041,0,-0.00475810424564818
2011-09-28,4,1,-0.0567609189043546,-0.0140797185176186,-0.0475635808763522
2008-09-15,1,1,-0.0567362934986446,-0.00355090474968408,-0.0460318853333862
2008-09-11,1,1,-0.0567362934986446,-0.00175782147846375,-0.0615215859277485
2008-09-12,1,1,-0.0567362934986446,0.00443835778650524,-0.0434298242144112
2008-09-13,1,1,-0.0567362934986446,0,-0.0434298242144112
2008-09-14,1,1,-0.0567362934986446,0,-0.0434298242144112
2013-07-01,3,0.99999999999987,-0.0567189877632048,0.00730980339533302,-0.0383758422177752
2013-06-27,4,1,-0.0567189877632048,-0.00286965725399639,-0.0621174153588916
2013-06-28,4,1,-0.0567189877632048,0.00791040947110159,-0.0460324919676815
2013-06-29,4,1,-0.0567189877632048,0,-0.0460324919676815
2013-06-30,3,0.9999999999999,-0.0567189877632048,0,-0.0460324919676815
2013-07-02,4,1,-0.0567189877632048,-0.000589381159940955,-0.0359402756637211
2013-07-03,4,1,-0.0567189877632048,0.00387584000235138,-0.0320140965083591
2013-07-04,4,1,-0.0567189877632048,-0.000463778677244268,-0.0352237247334289
2013-07-05,4,1,-0.0567189877632048,-0.0105628987826576,-0.0492389935142617
2013-07-06,4,1,-0.0567189877632048,0,-0.0492389935142617
2008-11-25,1,1,-0.0554033799931618,-0.00418285129929993,-0.0354808779565191
2011-09-30,4,1,-0.054591199784485,-0.00238584435891463,-0.0519787721316556
2011-10-01,4,1,-0.054591199784485,0,-0.0519787721316556
2011-09-29,4,1,-0.054591199784485,0.00499827201174404,-0.0517626468926106
2013-07-07,3,0.99999999999996,-0.0545650059756195,0,-0.0492389935142617
2011-10-02,4,1,-0.0545424486421097,0,-0.0519787721316556
2011-10-03,3,0.999999999999312,-0.0545424486421097,0.0079376960444023,-0.0386580273376324
2006-06-16,1,1,-0.0544658437504062,0.00392346005632632,-0.0401562521697917
2006-06-17,1,1,-0.0544658437504062,0,-0.0401562521697917
2006-06-18,1,1,-0.0544658437504062,0,-0.0401562521697917
2006-06-14,1,1,-0.0544658437504062,-0.000100281718547692,-0.0417623951923516
2006-06-15,1,1,-0.0544658437504062,0.0101390438071805,-0.0411843153566454
2006-06-19,1,1,-0.0544658437504062,-0.00865487829726924,-0.0482943563873377
2006-06-20,1,1,-0.0544658437504062,0.00353957013793454,-0.0428864138572316
2006-06-21,1,1,-0.0544658437504062,0.00870051211951359,-0.0301088927371601
2006-06-22,1,1,-0.0544658437504062,-0.00282430240838043,-0.0268441082844031
2006-06-23,1,1,-0.0544658437504062,0.00103408181877231,-0.0386083565163286
2006-06-24,1,1,-0.0544658437504062,0,-0.0386083565163286
2006-06-13,1,1,-0.0543655620318585,-0.0268093178993386,-0.0563866200512741
2008-10-01,1,1,-0.0534064185115546,-0.00335716789580556,0.0238756418160338
2013-07-08,3,0.999999999999951,-0.0521574983775102,0.0066933405772323,-0.0403916711494441
2008-08-15,1,1,-0.0516192523811614,-0.00768727478240658,-0.0479348512620884
2008-08-16,1,1,-0.0516192523811614,0,-0.0479348512620884
2008-08-17,1,1,-0.0516192523811614,0,-0.0479348512620884
2008-08-18,1,1,-0.0516192523811614,0.00227645675154287,-0.0479808058868347
2008-08-19,1,1,-0.0516192523811614,0.00583289697774867,-0.0379933705314456
2008-12-04,1,1,-0.0515804605316483,-0.012254336944253,-0.0103223392976317
2013-04-30,4,1,-0.0515540118839564,-0.000628102572640842,-0.0204566993619821
2013-05-01,4,1,-0.051443212164635,-0.00676842876050489,-0.0215454500966068
2008-09-30,1,1,-0.0506099185017828,0.000560667886033685,0.0169040431796437
2008-09-29,1,1,-0.0506099185017828,-0.0190875056105338,-0.00251378894522181
2006-09-21,1,1,-0.0503972950554455,0.00863962005062032,-0.040289575024457
2006-09-22,1,1,-0.0503972950554455,-0.00394635593304009,-0.0418515731526055
2006-09-23,1,1,-0.0503972950554455,0,-0.0418515731526055
2006-09-24,1,1,-0.0503972950554455,0,-0.0418515731526055
2006-09-20,1,1,-0.0503972950554455,-0.00369262806289083,-0.0446321507811481
2006-09-25,1,1,-0.0503972950554455,0.00498744589854586,-0.0370483919813536
2011-09-27,3,0.999999999999998,-0.050185549573803,0.00750434918706693,-0.038217220040876
2011-09-26,3,0.999999999999986,-0.050185549573803,-0.00667061469657568,-0.0503104393646234
2011-10-04,4,1,-0.0499615362499388,-0.00778838682895999,-0.051780711773838
2008-08-20,1,1,-0.0498351847751409,0.00343582276730389,-0.040074075884566
2008-08-22,1,1,-0.0497679046411451,-0.013653403926832,-0.0360254169477417
2008-08-23,1,1,-0.0497679046411451,0,-0.0360254169477417
2008-08-21,1,1,-0.0497679046411451,0.0158507151236399,-0.0224392931549055
2008-08-11,1,1,-0.0495749358656252,-0.0131712530252301,-0.059973126719231
2013-06-25,4,1,-0.0495347653086548,-0.00188882586630112,-0.0440511637606661
2008-09-09,1,1,-0.049434997917089,-0.0188571642388318,-0.0301484600261452
2020-04-01,5,1,-0.04929428739388,-0.00864188908914119,-0.0188838872781937
2020-04-02,5,1,-0.04929428739388,0.00976527089017834,0.018537982670771
2020-04-03,5,1,-0.04929428739388,0.00086847633706557,-0.000433536004092386
2020-04-04,5,1,-0.04929428739388,0,-0.000433536004092386
2020-03-11,4,1,-0.0490967381385897,-0.0167175290532553,-0.0464492041113892
2006-06-25,1,1,-0.0485243380719627,0,-0.0386083565163286
2009-04-07,1,1,-0.0484541753087637,0.00813035828927804,-0.0154244996421933
2009-04-06,1,1,-0.0484541753087636,-0.0117751718840379,-0.0276628789507257
2013-06-24,3,0.999999999999701,-0.0476459394423537,-0.00399081276020793,-0.0462641654263042
2011-10-05,4,1,-0.0474275080284182,0.00662389470542344,-0.0405759046762437
2011-10-06,4,1,-0.0474275080284182,0.00553268707671143,-0.028836249494479
2011-10-07,4,1,-0.0474275080284182,-0.00580241617259883,-0.0372326585908033
2011-10-08,4,1,-0.0474275080284182,0,-0.0372326585908033
2011-10-09,3,0.999999999999865,-0.0474275080284182,0,-0.0372326585908033
2011-10-10,3,0.999999999999847,-0.0474275080284182,0.0086905885496755,-0.0234270348940683
2008-08-08,1,1,-0.046801873694001,-0.00733559188714755,-0.0399131907022072
2008-08-09,1,1,-0.046801873694001,0,-0.0399131907022072
2008-08-10,1,1,-0.046801873694001,0,-0.0399131907022072
2009-04-08,1,1,-0.0467761395652483,0.00191642576316413,-0.0384073912563215
2006-09-19,1,1,-0.0467046669925547,-0.0118511704922586,-0.0360644788845508
2006-06-26,1,1,-0.0462410254488691,0.00452561118484108,-0.028141239653044
2009-12-22,3,0.999999999999989,-0.0460992694827692,-0.00360157892082209,-0.0431236736792553
2008-08-12,1,1,-0.0459267239293666,-0.00628944425820746,-0.0558643801238327
2008-08-13,1,1,-0.0459267239293666,0.00888398088587371,-0.0344711653288534
2008-08-14,1,1,-0.0459267239293666,-0.00688923455526199,-0.0436558785548452
2006-02-15,1,1,-0.0453848782815597,-0.00892405145313475,-0.031925620071876
2006-02-16,1,1,-0.0453848782815597,0.00825468516066376,-0.0237334634040562
2006-02-17,1,1,-0.0453848782815597,0.00707360127670158,-0.0240662950457935
2006-02-18,1,1,-0.0453848782815597,0,-0.0240662950457935
2006-02-19,1,1,-0.0453848782815597,0,-0.0240662950457935
2009-03-10,4,1,-0.0453587149327063,-0.0173477465699629,-0.0380630042665581
2009-03-12,4,1,-0.0453587149327063,0.00997770325775965,-0.0165736372272954
2009-03-11,4,1,-0.0453587149327063,0.00643891057202312,-0.035888625417932
