,K_macro,G_macro,regime_macro,max_p_macro
2005-01-03,3,3,2,0.9999999967009793
2005-01-04,3,3,2,0.9999999999833111
2005-01-05,3,3,2,0.9999999251635291
2005-01-06,3,3,2,0.9999999998087834
2005-01-07,3,3,2,0.999999999999992
2005-01-10,3,3,2,0.9999999999997986
2005-01-11,3,3,2,0.9999999999997444
2005-01-12,3,3,2,0.9999999999991589
2005-01-13,3,3,2,0.9999999999951352
2005-01-14,3,3,2,0.9999999999999962
2005-01-17,3,3,2,0.9999999999973463
2005-01-18,3,3,2,0.9999999999985192
2005-01-19,3,3,2,0.9999999999990095
2005-01-20,3,3,2,0.9999999999945905
2005-01-21,3,3,2,0.9999999999972351
2005-01-24,3,3,2,0.999999999999913
2005-01-25,3,3,2,0.9999999999999951
2005-01-26,3,3,2,0.9999999999999978
2005-01-27,3,3,2,0.9999999999995839
2005-01-28,3,3,2,0.9999999999971394
2005-01-31,3,3,2,0.9999999999999953
2005-02-01,3,3,2,0.9999999999998639
2005-02-02,3,3,2,0.9999999999331414
2005-02-03,3,3,2,0.999999999517575
2005-02-04,3,3,2,0.9999999896620404
2005-02-07,3,3,2,0.9999999845573891
2005-02-08,3,3,2,0.9999999988567981
2005-02-09,3,3,2,0.9999999796520855
2005-02-10,3,3,2,0.9999999920096798
2005-02-11,3,3,2,0.999999999995155
2005-02-14,3,3,2,0.9999998934423489
2005-02-15,3,3,2,0.9999998715108098
2005-02-16,3,3,2,0.9999998219593818
2005-02-17,3,3,2,0.9999999882644751
2005-02-18,3,3,2,0.9999999507187997
2005-02-21,3,3,2,0.9999999613788323
2005-02-22,3,3,2,0.9999998928380889
2005-02-23,3,3,2,0.9999999999980722
2005-02-24,3,3,2,0.9999999179221026
2005-02-25,3,3,2,0.9999995341556327
2005-02-28,3,3,2,0.9999999953305803
2005-03-01,3,3,2,0.999999897284657
2005-03-02,3,3,2,0.9999998530118479
2005-03-03,3,3,2,0.9999999986825335
2005-03-04,3,3,2,0.9999999996898266
2005-03-07,3,3,2,0.999999998456442
2005-03-08,3,3,2,0.9999999999668667
2005-03-09,3,3,2,0.9999999999892334
2005-03-10,3,3,2,0.9999999999939555
2005-03-11,3,3,2,0.9999999987728738
2005-03-14,3,3,2,0.9999999403484314
2005-03-15,3,3,2,0.9999998566643699
2005-03-16,3,3,2,0.9999999497754913
2005-03-17,3,3,2,0.9999999904202759
2005-03-18,3,3,2,0.9999999962865953
2005-03-21,3,3,2,0.9999999752861627
2005-03-22,3,3,2,0.9999999824052935
2005-03-23,3,3,2,0.9999921033498644
2005-03-24,3,3,2,1.0
2005-03-25,3,3,2,0.9999999971577909
2005-03-28,3,3,2,0.9999999980521549
2005-03-29,3,3,2,1.0
2005-03-30,3,3,2,0.9999999999957176
2005-03-31,3,3,2,0.9999999999603871
2005-04-01,3,3,2,0.9999999999999916
2005-04-04,3,3,2,0.9999999999999978
2005-04-05,3,3,2,0.999999999999835
2005-04-06,3,3,2,0.9999999999999358
2005-04-07,3,3,2,0.9999999999948279
2005-04-08,3,3,2,0.9999999999999867
2005-04-11,3,3,2,0.9999999999975537
2005-04-12,3,3,2,0.9999999999859817
2005-04-13,3,3,2,0.9999999999999993
2005-04-14,3,3,2,0.999999999999984
2005-04-15,3,3,2,0.9999999999999982
2005-04-18,3,3,2,0.9999999999999893
2005-04-19,3,3,2,0.9999999999999958
2005-04-20,3,3,2,0.999999999999998
2005-04-21,3,3,2,0.99999999999868
2005-04-22,3,3,2,0.9999999999981837
2005-04-25,3,3,2,0.999999999999982
2005-04-26,3,3,2,0.9999999999852405
2005-04-27,3,3,2,0.9999999999951095
2005-04-28,3,3,2,1.0
2005-04-29,3,3,2,0.9999999999997737
2005-05-02,3,3,2,1.0
2005-05-03,3,3,2,1.0
2005-05-04,3,3,2,0.9999999999999998
2005-05-05,3,3,2,0.9999999999999998
2005-05-06,3,3,2,0.9999999999999987
2005-05-09,3,3,2,0.999999999999992
2005-05-10,3,3,2,0.9999999999999958
2005-05-11,3,3,2,0.9999999999999958
2005-05-12,3,3,2,0.9999999999999996
2005-05-13,3,3,2,0.9999999999999998
2005-05-16,3,3,2,0.9999999999999944
2005-05-17,3,3,2,0.9999999999999942
2005-05-18,3,3,2,0.9999999999999438
2005-05-19,3,3,2,1.0
2005-05-20,3,3,2,0.9999999999999993
2005-05-23,3,3,2,1.0
2005-05-24,3,3,2,1.0
2005-05-25,3,3,2,1.0
2005-05-26,3,3,2,0.9999999999999996
2005-05-27,3,3,2,0.9999999999999873
2005-05-30,5,3,2,0.9999999999995808
2005-05-31,5,3,2,0.9999999999999729
2005-06-01,5,3,2,0.9999999999988198
2005-06-02,5,3,2,0.9999999999999301
2005-06-03,5,3,2,0.999999999999442
2005-06-06,5,3,2,0.9999999999991032
2005-06-07,5,3,2,0.9999999999999838
2005-06-08,5,3,2,0.9999999999999882
2005-06-09,5,3,2,0.9999999999999947
2005-06-10,5,3,2,0.9999999999998479
2005-06-13,5,3,2,0.9999999999999154
2005-06-14,5,3,2,0.9999999999997609
2005-06-15,5,3,2,0.9999999999984106
2005-06-16,5,3,2,0.9999989731107616
2005-06-17,5,3,2,0.9999959284244486
2005-06-20,5,3,2,0.9999959518415473
2005-06-21,5,3,2,0.989133466753125
2005-06-22,5,3,2,0.9953692093140311
2005-06-23,5,3,2,0.6968881042149574
2005-06-24,5,3,1,0.9284338711590959
2005-06-27,5,3,1,0.9999999962207022
2005-06-28,5,3,1,0.9999999552101038
2005-06-29,5,3,1,0.9999999996602371
2005-06-30,5,3,1,0.9999999797708197
2005-07-01,5,3,1,0.9999999810874655
2005-07-04,5,3,1,0.9999999999703251
2005-07-05,5,3,1,0.9999999994921107
2005-07-06,5,3,1,0.999999990743575
2005-07-07,5,3,1,0.9999999996533282
2005-07-08,5,3,1,0.9999999907975651
2005-07-11,5,3,1,0.9999999945835261
2005-07-12,5,3,1,0.9999999678407732
2005-07-13,5,3,1,0.9999999702294248
2005-07-14,5,3,1,0.9999998836964455
2005-07-15,5,3,1,0.9999997248481346
2005-07-18,5,3,1,0.9999998488809628
2005-07-19,5,3,1,0.999999707577863
2005-07-20,5,3,1,0.999999437269589
2005-07-21,5,3,1,0.9999998079657438
2005-07-22,5,3,1,0.9999998922640251
2005-07-25,5,3,1,0.9999999879513058
2005-07-26,5,3,1,0.9999999731393573
2005-07-27,8,4,2,0.9999998386705521
2005-07-28,8,4,2,0.9999999880743284
2005-07-29,8,4,2,0.9999999562007547
2005-08-01,8,4,2,0.999999844292354
