,turnover
2005-01-03,0.0
2005-01-04,9.9423297091976e-06
2005-01-05,7.566628506726347e-06
2005-01-06,4.562062749784214e-06
2005-01-07,3.7963514558096275e-06
2005-01-10,3.1600437132608183e-06
2005-01-11,3.306264444670666e-06
2005-01-12,3.1314340465709703e-06
2005-01-13,2.429207205440977e-06
2005-01-14,2.042061638740159e-06
2005-01-17,2.3850470145000316e-06
2005-01-18,2.234844375767141e-06
2005-01-19,2.2386591474964337e-06
2005-01-20,1.9766551144803647e-06
2005-01-21,5.02793306530371e-07
2005-01-24,1.117137811468224e-05
2005-01-25,6.873774421797892e-07
2005-01-26,7.0223038835000996e-06
2005-01-27,9.327021485429444e-06
2005-01-28,6.497149883788698e-07
2005-01-31,1.8596971310071304e-06
2005-02-01,1.5813814554255629e-06
2005-02-02,1.3690743468761692e-06
2005-02-03,1.1324733703341404e-06
2005-02-04,1.5024100846862156e-05
2005-02-07,1.3624822999314442e-05
2005-02-08,9.57140519387178e-06
2005-02-09,8.987334945570505e-06
2005-02-10,8.309735530716532e-06
2005-02-11,1.810196914531733e-05
2005-02-14,1.7083088244524791e-06
2005-02-15,1.2135124414545581e-06
2005-02-16,8.957042440534019e-07
2005-02-17,6.999546067225937e-07
2005-02-18,7.275819005894742e-07
2005-02-21,1.2558564774856037e-05
2005-02-22,9.375656482695229e-06
2005-02-23,2.4178625419194004e-05
2005-02-24,3.2678000795037336e-05
2005-02-25,0.0010497462912176683
2005-02-28,0.009630214759594875
2005-03-01,1.6479873021779667e-17
2005-03-02,0.008895283399004108
2005-03-03,0.007861048827784678
2005-03-04,0.02815293391682413
2005-03-07,3.262569492047738e-05
2005-03-08,2.2867896591484416e-05
2005-03-09,3.469446951953614e-18
2005-03-10,1.3877787807814457e-17
2005-03-11,3.0564685235281996e-05
2005-03-14,2.853130424197367e-05
2005-03-15,3.122502256758253e-17
2005-03-16,1.0408340855860843e-17
2005-03-17,6.938893903907228e-18
2005-03-18,0.0073545462135345165
2005-03-21,6.938893903907228e-18
2005-03-22,0.006866397417450723
2005-03-23,0.0016091269820227919
2005-03-24,4.920953593452737e-06
2005-03-25,6.151202280479939e-06
2005-03-28,6.687328390160563e-06
2005-03-29,2.688370970248266e-06
2005-03-30,7.636270549574165e-06
2005-03-31,1.433440822817128e-05
2005-04-01,6.015823238725293e-06
2005-04-04,1.5427788410807275e-05
2005-04-05,0.0027533493570563727
2005-04-06,6.261570137722217e-05
2005-04-07,1.4975172035698592e-05
2005-04-08,5.770630481731487e-06
2005-04-11,0.019071551386195165
2005-04-12,0.12422035660997219
2005-04-13,0.17763712514946126
2005-04-14,1.7891932855083469e-06
2005-04-15,9.694927456476399e-08
2005-04-18,6.642389435236265e-08
2005-04-19,0.02130702756445222
2005-04-20,1.6658145924469964e-06
2005-04-21,1.2803062494356294e-06
2005-04-22,0.13760963019968955
2005-04-25,1.4562083681432827e-05
2005-04-26,8.353802337831935e-06
2005-04-27,6.081953164542101e-06
2005-04-28,3.8215368531426715e-05
2005-04-29,3.722417888920196e-05
2005-05-02,0.004662833837502653
2005-05-03,1.8627841903349237e-05
2005-05-04,0.004223996346543809
2005-05-05,2.0969834452245493e-05
2005-05-06,9.691199063864592e-06
2005-05-09,8.984069496931721e-05
2005-05-10,3.856832204746411e-05
2005-05-11,1.2316141536352632e-05
2005-05-12,0.003941346470785273
2005-05-13,0.01594711665473305
2005-05-16,0.0032399832355966443
2005-05-17,0.006621296229234113
2005-05-18,7.697141055342924e-06
2005-05-19,0.028316012898153598
2005-05-20,4.549982029069369e-06
2005-05-23,3.691535174540252e-06
2005-05-24,3.155909761480636e-06
2005-05-25,3.071178557313934e-06
2005-05-26,0.0849319777348677
2005-05-27,0.025454622278420304
2005-05-30,1.6719944910157977e-06
2005-05-31,1.2625923751025272e-06
2005-06-01,9.580617301339206e-07
2005-06-02,4.690291096160605e-06
2005-06-03,0.0784719116355841
2005-06-06,0.04723784765020486
2005-06-07,0.029525937095629947
2005-06-08,1.2461274438998725e-06
2005-06-09,9.571970226757175e-07
2005-06-10,0.08040601241818397
2005-06-13,3.057805768914925e-07
2005-06-14,2.1853655437313076e-07
2005-06-15,1.5535320232603282e-07
2005-06-16,3.059413075478574e-06
2005-06-17,1.7007187358489273e-06
2005-06-20,0.04485003930776008
2005-06-21,0.012791116364023997
2005-06-22,0.006837165702019424
2005-06-23,1.73539352921223e-05
2005-06-24,0.0508894114881445
2005-06-27,1.3520755623120702e-06
2005-06-28,1.569298325751563e-05
2005-06-29,1.2937244669801104e-05
2005-06-30,1.3656481049421076e-05
2005-07-01,7.351928319344758e-07
2005-07-04,5.059733620285357e-07
2005-07-05,7.223901670008323e-06
2005-07-06,1.0256704444310643e-05
2005-07-07,1.8789212316964315e-05
2005-07-08,3.2566594726970294e-06
2005-07-11,1.1570223160006776e-05
2005-07-12,0.07318224834744774
2005-07-13,2.509593536879076e-08
2005-07-14,4.568310290033582e-07
2005-07-15,0.007220525044586425
2005-07-18,2.254587031521347e-06
2005-07-19,8.142495012755865e-07
2005-07-20,6.350268933151483e-07
2005-07-21,1.337572075160482e-06
2005-07-22,1.966197894176173e-06
2005-07-25,6.756350623483047e-07
2005-07-26,0.003324190416192441
2005-07-27,0.0298654884819525
2005-07-28,4.82995901106344e-06
2005-07-29,0.09326025429979573
