,gamma_eff
2005-01-03,8.986073768937423
2005-01-04,8.985860490471154
2005-01-05,8.966328008498746
2005-01-06,8.961029220222787
2005-01-07,9.064924104626124
2005-01-10,9.05003387170219
2005-01-11,9.07954356745482
2005-01-12,9.035357491272519
2005-01-13,9.027533556756655
2005-01-14,9.045764890433773
2005-01-17,9.00645252989401
2005-01-18,8.98987672452227
2005-01-19,8.99318715145533
2005-01-20,8.953169347793327
2005-01-21,8.948363484549606
2005-01-24,9.013945201684935
2005-01-25,9.039628207159307
2005-01-26,9.025301704662647
2005-01-27,8.96230036219105
2005-01-28,8.955030640114325
2005-01-31,8.950429838185393
2005-02-01,8.978086041534748
2005-02-02,8.888005058923934
2005-02-03,8.887354641001961
2005-02-04,8.921930033228021
2005-02-07,8.886409194054036
2005-02-08,8.881844019593574
2005-02-09,8.869279671184024
2005-02-10,8.877972448092963
2005-02-11,8.929423972730694
2005-02-14,8.879796898615544
2005-02-15,8.852177363453496
2005-02-16,8.836155514095195
2005-02-17,8.824926208240498
2005-02-18,8.804216839580523
2005-02-21,8.779586356394374
2005-02-22,8.7583925423871
2005-02-23,8.786166080498594
2005-02-24,8.764149734642885
2005-02-25,8.794743143349582
2005-02-28,8.885931533353515
2005-03-01,8.850057369731402
2005-03-02,8.821415736063956
2005-03-03,8.965771220047115
2005-03-04,9.042216516046489
2005-03-07,8.894670489505689
2005-03-08,8.948620588544184
2005-03-09,9.067596878817792
2005-03-10,9.384970012269815
2005-03-11,8.86608034841168
2005-03-14,8.769406118776168
2005-03-15,8.724343833545854
2005-03-16,8.671503778443236
2005-03-17,8.647217789768582
2005-03-18,8.620411377009065
2005-03-21,8.594191202881824
2005-03-22,8.592508080298101
2005-03-23,8.615554184796817
2005-03-24,9.222899136311904
2005-03-25,8.988455736364003
2005-03-28,9.021938624971007
2005-03-29,9.111740144624749
2005-03-30,8.958032813191346
2005-03-31,9.002527922176805
2005-04-01,9.46237502956594
2005-04-04,8.895250156010517
2005-04-05,8.987774906011358
2005-04-06,8.987093758203468
2005-04-07,9.107958861306468
2005-04-08,9.110772742076406
2005-04-11,9.242126155517816
2005-04-12,9.395000837913212
2005-04-13,9.373061559735582
2005-04-14,9.68397644551981
2005-04-15,9.66176405358468
2005-04-18,9.058888796650727
2005-04-19,10.747716303900177
2005-04-20,10.348648199659367
2005-04-21,9.659599949777292
2005-04-22,9.345941052647031
2005-04-25,9.136935191533418
2005-04-26,9.362239437621945
2005-04-27,9.168161153749676
2005-04-28,9.14717036326969
2005-04-29,9.028835503127564
2005-05-02,8.830047118305975
2005-05-03,8.852997764479667
2005-05-04,8.92868575409868
2005-05-05,8.97245092627436
2005-05-06,8.939181100184292
2005-05-09,8.78794252157276
2005-05-10,8.758631394170596
2005-05-11,8.742029386407513
2005-05-12,8.73882333157924
2005-05-13,8.752413480632494
2005-05-16,8.742360479211994
2005-05-17,8.89672189297523
2005-05-18,8.832797329510122
2005-05-19,8.767223748870688
2005-05-20,8.863617262675897
2005-05-23,8.749289180981727
2005-05-24,8.808338620987971
2005-05-25,8.694711829509599
2005-05-26,8.710851101863867
2005-05-27,8.690103194626452
2005-05-30,8.709372551807256
2005-05-31,8.684413662118342
2005-06-01,8.759113453088839
2005-06-02,8.761178224922086
2005-06-03,8.84697927476622
2005-06-06,8.594674492982454
2005-06-07,8.79518838882488
2005-06-08,8.753034929091354
2005-06-09,8.855414339180395
2005-06-10,8.633867055442705
2005-06-13,8.54882830531933
2005-06-14,8.521200424618558
2005-06-15,8.566119916375293
2005-06-16,8.526377110030303
2005-06-17,8.513542606668835
2005-06-20,8.51425180358613
2005-06-21,8.50497909461665
2005-06-22,8.818957783479178
2005-06-23,8.514669537505569
2005-06-24,8.520681165869913
2005-06-27,8.482619850711739
2005-06-28,8.521753842232762
2005-06-29,8.444869665030302
2005-06-30,8.511441629529234
2005-07-01,8.496364949906246
2005-07-04,8.426705500101367
2005-07-05,8.434334604258854
2005-07-06,8.451352722282635
2005-07-07,8.405916310850595
2005-07-08,8.425346610919025
2005-07-11,8.421394415919336
2005-07-12,8.483234533849366
2005-07-13,8.509782066491665
2005-07-14,8.539595350688918
2005-07-15,8.578036888305379
2005-07-18,8.534943302568356
2005-07-19,8.548364054614174
2005-07-20,8.570849925044046
2005-07-21,8.525542155476685
2005-07-22,8.512678465584854
2005-07-25,8.475453220380217
2005-07-26,8.476900214731037
2005-07-27,8.480558692416253
2005-07-28,8.472055535121342
2005-07-29,8.459218951721262
2005-08-01,8.45270998757345
