,turnover
2005-01-03,0.0
2005-01-04,7.119520086510192e-06
2005-01-05,1.1495083718612159e-05
2005-01-06,1.8737168208047758e-05
2005-01-07,1.468473649667533e-05
2005-01-10,1.6644222138954487e-05
2005-01-11,1.777799008768205e-05
2005-01-12,6.324286036377136e-06
2005-01-13,9.8159410947124e-06
2005-01-14,1.1153191030824697e-05
2005-01-17,1.6815675849437065e-05
2005-01-18,1.285640804259136e-05
2005-01-19,1.354929794779823e-05
2005-01-20,7.2371986049625525e-06
2005-01-21,6.3506201023379866e-06
2005-01-24,1.5636311353626337e-05
2005-01-25,1.835898637119436e-05
2005-01-26,1.4019740906432224e-05
2005-01-27,4.924957808629185e-06
2005-01-28,3.7338056409156467e-06
2005-01-31,3.1536962990016265e-06
2005-02-01,5.248371936002194e-06
2005-02-02,1.8824204502561337e-06
2005-02-03,1.9163075498963844e-06
2005-02-04,2.829829043685464e-06
2005-02-07,2.00696668259219e-06
2005-02-08,3.146001320794914e-06
2005-02-09,4.177081159541934e-06
2005-02-10,6.9808912454092514e-06
2005-02-11,1.5494820761853892e-05
2005-02-14,1.026624699776782e-05
2005-02-15,7.895102544968127e-06
2005-02-16,6.837575610900079e-06
2005-02-17,6.125757035260054e-06
2005-02-18,4.563541083500017e-06
2005-02-21,3.027527692265816e-06
2005-02-22,2.195969867172659e-06
2005-02-23,2.4799967290600744e-06
2005-02-24,2.442702472639155e-06
2005-02-25,2.304677295924054e-06
2005-02-28,6.456930186186927e-06
2005-03-01,3.307818632308779e-06
2005-03-02,2.063979089982765e-06
2005-03-03,1.2101873243530042e-05
2005-03-04,4.610791732488975e-06
2005-03-07,4.291606436527748e-06
2005-03-08,7.70301158274124e-06
2005-03-09,3.983048865318847e-06
2005-03-10,1.971136816993589e-05
2005-03-11,2.900612354259438e-06
2005-03-14,2.8527145262656484e-06
2005-03-15,2.8742780572021953e-06
2005-03-16,2.866253816373107e-06
2005-03-17,2.8853692327201336e-06
2005-03-18,2.9429686035312846e-06
2005-03-21,2.9841580564040487e-06
2005-03-22,3.0774530844421277e-06
2005-03-23,3.219180416172071e-06
2005-03-24,1.4120901332608654e-05
2005-03-25,4.099527579034742e-06
2005-03-28,4.220207601868947e-06
2005-03-29,4.897088853839451e-06
2005-03-30,4.1430918445214265e-06
2005-03-31,4.244596359238503e-06
2005-04-01,1.2795876231621456e-05
2005-04-04,4.079079424798918e-06
2005-04-05,4.380624664396607e-06
2005-04-06,4.43344500146263e-06
2005-04-07,9.521295652129697e-06
2005-04-08,1.4362547377397283e-05
2005-04-11,4.356777857426539e-06
2005-04-12,0.001536830828401543
2005-04-13,0.15387411457954225
2005-04-14,5.9309440426785764e-06
2005-04-15,4.7417840794358734e-06
2005-04-18,0.006676031380119858
2005-04-19,1.4729321038062237e-05
2005-04-20,9.27190772098685e-06
2005-04-21,3.11805147213684e-05
2005-04-22,0.02704823617409057
2005-04-25,0.003195252048901427
2005-04-26,0.0030813336039959976
2005-04-27,1.3923556723992314e-05
2005-04-28,1.4778787964589424e-05
2005-04-29,0.0007668506876567852
2005-05-02,0.0016012007109363624
2005-05-03,3.0396778236935207e-05
2005-05-04,3.1382310052549545e-05
2005-05-05,3.227332779766334e-05
2005-05-06,3.0326949619643995e-05
2005-05-09,2.2586964688563194e-05
2005-05-10,2.0389468043141568e-05
2005-05-11,2.166586993444103e-05
2005-05-12,1.8271032226124806e-05
2005-05-13,1.8886664455299018e-05
2005-05-16,1.729586225728691e-05
2005-05-17,2.3840459118899815e-05
2005-05-18,3.936373062188303e-06
2005-05-19,0.025091888797745834
2005-05-20,0.004516639509679503
2005-05-23,0.0041034666574683715
2005-05-24,2.4439855160846014e-05
2005-05-25,0.002509136405432967
2005-05-26,2.6024626230317094e-05
2005-05-27,0.0004995934408644487
2005-05-30,2.9790061692173964e-05
2005-05-31,0.00024158543573861435
2005-06-01,2.2495594247023964e-05
2005-06-02,2.689824933384266e-05
2005-06-03,2.679579195051518e-05
2005-06-06,0.000938949431703251
2005-06-07,2.6246188136888615e-05
2005-06-08,1.9212529128030675e-05
2005-06-09,4.720160327029155e-06
2005-06-10,0.0017986356388906555
2005-06-13,3.1993821838438574e-05
2005-06-14,2.95425391863835e-05
2005-06-15,3.085074404515081e-05
2005-06-16,2.742463004222484e-05
2005-06-17,3.2151831962139166e-05
2005-06-20,1.5245502927044297e-05
2005-06-21,1.6571386099936691e-06
2005-06-22,4.0256745283476225e-06
2005-06-23,1.9555003835172724e-06
2005-06-24,1.8777120765825495e-06
2005-06-27,1.8255245286258326e-06
2005-06-28,3.06899418286502e-05
2005-06-29,2.8706342430351306e-06
2005-06-30,3.340640227133401e-05
2005-07-01,1.947347217666484e-06
2005-07-04,3.128833160753741e-06
2005-07-05,3.328829258825161e-06
2005-07-06,3.552922634965372e-06
2005-07-07,3.251925332313499e-06
2005-07-08,3.694814288440762e-06
2005-07-11,3.325285523249344e-06
2005-07-12,2.908527185747911e-05
2005-07-13,1.534290874224964e-06
2005-07-14,3.8636862150220885e-06
2005-07-15,3.2190538569037974e-06
2005-07-18,3.5932800435539702e-06
2005-07-19,2.4653766212828776e-06
2005-07-20,1.943344716461015e-06
2005-07-21,2.8900179810734117e-06
2005-07-22,2.790211662612868e-05
2005-07-25,2.5306453784249006e-06
2005-07-26,4.781467236342207e-06
2005-07-27,3.933968757557915e-06
2005-07-28,4.480735445171191e-06
2005-07-29,4.0624520542820175e-06
2005-08-01,4.444880757382974e-06
2005-08-02,3.032418262605141e-06
2005-08-03,3.258925354188147e-06
2005-08-04,3.4114603167795243e-06
2005-08-05,4.0409967360446886e-06
2005-08-08,4.679863719568578e-06
2005-08-09,0.0014431737736776973
2005-08-10,0.0016983820640144656
2005-08-11,8.442563936456732e-05
2005-08-12,2.601607395479044e-06
2005-08-15,2.2175969440138554e-06
2005-08-16,2.022526781606665e-05
2005-08-17,1.1524816527469506e-05
2005-08-18,0.004683205306043596
2005-08-19,2.3349438553907365e-05
2005-08-22,2.603378365717557e-06
2005-08-23,0.003127901561319299
2005-08-24,0.0037418698193962124
2005-08-25,2.9221913065910488e-06
2005-08-26,0.0022848861402362114
2005-08-29,2.426891593541869e-06
2005-08-30,2.4323240541274105e-06
2005-08-31,2.246339904109218e-06
2005-09-01,2.183864201518726e-06
2005-09-02,2.5901431548160103e-05
2005-09-05,2.35154732117146e-05
2005-09-06,2.9296314082417896e-05
2005-09-07,8.232893502276017e-06
2005-09-08,8.837546007417485e-06
2005-09-09,2.7555972768350534e-05
2005-09-12,2.8132045494691504e-05
2005-09-13,2.738851053688679e-05
2005-09-14,2.678024810227886e-05
2005-09-15,2.6047365616510554e-05
2005-09-16,2.4720004152087305e-05
2005-09-19,2.1643437514193287e-05
2005-09-20,5.75283658895559e-06
2005-09-21,9.3137783471961e-06
2005-09-22,3.613256877789406e-06
2005-09-23,1.3974283790713082e-05
2005-09-26,1.5090599219218237e-05
2005-09-27,2.841340115309482e-05
2005-09-28,2.0586636232430844e-05
2005-09-29,1.668396945426337e-05
2005-09-30,2.0688385531798803e-05
2005-10-03,4.36999458856141e-06
2005-10-04,1.2463651099893502e-05
2005-10-05,4.361739213455673e-06
2005-10-06,6.572831836908211e-06
2005-10-07,9.719671498167881e-06
2005-10-10,2.4591453877752245e-05
2005-10-11,1.7996979758051757e-05
2005-10-12,1.2428460932759067e-05
2005-10-13,4.740297648103686e-06
