,turnover
2005-01-03,0.0
2005-01-04,9.942329709107395e-06
2005-01-05,7.566628506351647e-06
2005-01-06,4.562062749605363e-06
2005-01-07,3.7963514557839412e-06
2005-01-10,3.1600437131547634e-06
2005-01-11,3.306264442657665e-06
2005-01-12,3.1314340470137306e-06
2005-01-13,2.4292072059803104e-06
2005-01-14,2.042061633607898e-06
2005-01-17,2.3850470184921474e-06
2005-01-18,2.2348443768163397e-06
2005-01-19,2.2386591450626057e-06
2005-01-20,1.9766551134749028e-06
2005-01-21,5.027933070757057e-07
2005-01-24,1.1171378064327e-05
2005-01-25,6.873773671351993e-07
2005-01-26,7.022303514615538e-06
2005-01-27,9.327021452369484e-06
2005-01-28,6.497136988112892e-07
2005-01-31,1.8596967694448454e-06
2005-02-01,1.5813811476468072e-06
2005-02-02,1.369074083301932e-06
2005-02-03,1.1324731465520914e-06
2005-02-04,1.5024136920798406e-05
2005-02-07,1.362545285460556e-05
2005-02-08,9.572417574590024e-06
2005-02-09,8.98719698836394e-06
2005-02-10,8.319286744514143e-06
2005-02-11,1.8094943564481502e-05
2005-02-14,1.7082532647266756e-06
2005-02-15,1.2134714385075538e-06
2005-02-16,8.956737684450473e-07
2005-02-17,6.999317821168018e-07
2005-02-18,7.27552851810726e-07
2005-02-21,1.2558551428996875e-05
2005-02-22,9.37564775880174e-06
2005-02-23,2.417860209996636e-05
2005-02-24,3.267797972001269e-05
2005-02-25,0.0010497482427153661
2005-02-28,0.009630223943183028
2005-03-01,1.968911145233676e-16
2005-03-02,0.008895277045985993
2005-03-03,0.007861158192515637
2005-03-04,0.028153245630260233
2005-03-07,3.2624661785814806e-05
2005-03-08,2.2868641571929804e-05
2005-03-09,6.591949208711867e-17
2005-03-10,1.3877787807814457e-17
2005-03-11,3.056472638879662e-05
2005-03-14,2.853130938992865e-05
2005-03-15,3.469446951953614e-17
2005-03-16,2.42861286636753e-17
2005-03-17,3.8163916471489756e-17
2005-03-18,0.007354210874967088
2005-03-21,2.7755575615628914e-17
2005-03-22,0.0068663059528048034
2005-03-23,0.0016091289182544044
2005-03-24,4.921143553097973e-06
2005-03-25,6.151025682167577e-06
2005-03-28,6.687023436563466e-06
2005-03-29,2.6881795967964583e-06
2005-03-30,7.636324108738213e-06
2005-03-31,1.4333622739608198e-05
2005-04-01,6.016237922991385e-06
2005-04-04,1.5429715760795215e-05
2005-04-05,0.002753718635923906
2005-04-06,6.261610599578998e-05
2005-04-07,1.4978112812230604e-05
2005-04-08,5.770370697252836e-06
2005-04-11,0.019075746934715115
2005-04-12,0.12423931155010423
2005-04-13,0.1776405671448436
2005-04-14,1.7860525617626423e-06
2005-04-15,9.691368613031828e-08
2005-04-18,6.638559177641361e-08
2005-04-19,0.018857491064618703
2005-04-20,3.6007163223833373e-06
2005-04-21,2.768682720220323e-06
2005-04-22,0.14009058515646355
2005-04-25,1.3558592948630786e-05
2005-04-26,7.514323880996837e-06
2005-04-27,5.3755306515199045e-06
2005-04-28,2.8437046074156574e-05
2005-04-29,3.667583028735552e-05
2005-05-02,0.004680884363716694
2005-05-03,1.8255417859160004e-05
2005-05-04,0.004224265257390983
2005-05-05,2.068075684251667e-05
2005-05-06,9.690373918223101e-06
2005-05-09,9.167864789211313e-05
2005-05-10,3.818251490944984e-05
2005-05-11,1.229170562177745e-05
2005-05-12,0.003941592062055808
2005-05-13,0.01594603806795654
2005-05-16,0.0032399807923516244
2005-05-17,0.006621253836429123
2005-05-18,7.700545845649825e-06
2005-05-19,0.028316006487256584
2005-05-20,4.55264856462062e-06
2005-05-23,3.6935850035339768e-06
2005-05-24,3.1575149318567767e-06
2005-05-25,3.0724612499392487e-06
2005-05-26,0.08493196036925482
2005-05-27,0.025454619557165475
2005-05-30,1.672416805307946e-06
2005-05-31,1.262916962681404e-06
2005-06-01,9.583114451546114e-07
