,turnover
2005-01-03,0.0
2005-01-04,1.734723475976807e-18
2005-01-05,1.9081958235744878e-17
2005-01-06,1.734723475976807e-18
2005-01-07,8.013431817577017e-19
2005-01-10,5.405189037310976e-19
2005-01-11,3.154809852617695e-18
2005-01-12,4.0815083937625464e-20
2005-01-13,1.9881230369313685e-18
2005-01-14,2.062135992942513e-18
2005-01-17,3.4260123860272347e-19
2005-01-18,1.7405655322305028e-19
2005-01-19,3.8276982497294536e-19
2005-01-20,3.0562035078282217e-18
2005-01-21,1.6796756469785826e-17
2005-01-24,2.026620342173944e-17
2005-01-25,1.734723475976807e-18
2005-01-26,1.1348242543989667e-06
2005-01-27,0.026103012818436105
2005-01-28,0.1065978229477894
2005-01-31,0.3482816765681489
2005-02-01,0.000368514663769956
2005-02-02,3.7088940825352745e-06
2005-02-03,4.163336342344337e-17
2005-02-04,0.0
2005-02-07,4.163336342344337e-17
2005-02-08,1.3877787807814457e-17
2005-02-09,2.7755575615628914e-17
2005-02-10,1.3877787807814457e-17
2005-02-11,1.3877787807814457e-17
2005-02-14,2.7755575615628914e-17
2005-02-15,2.7755575615628914e-17
2005-02-16,6.938893903907228e-17
2005-02-17,6.938893903907228e-17
2005-02-18,1.3877787807814457e-17
2005-02-21,1.3877787807814457e-17
2005-02-22,2.7755575615628914e-17
2005-02-23,2.7755575615628914e-17
2005-02-24,0.0
2005-02-25,1.8966430707853532e-06
2005-02-28,3.6223382895786416e-06
2005-03-01,0.07154911738142458
2005-03-02,2.6176476406507276e-05
2005-03-03,1.3877787807814457e-17
2005-03-04,2.3426733638566566e-05
2005-03-07,2.3093406962410024e-05
2005-03-08,5.551117365901728e-17
2005-03-09,2.243131535561299e-05
2005-03-10,2.426317541299322e-05
2005-03-11,4.1633386409732986e-17
2005-03-14,1.38778410020206e-17
2005-03-15,1.8889616508352414e-05
2005-03-16,1.8616458022084614e-05
2005-03-17,1.5959455978986625e-16
2005-03-18,6.316570626760387e-07
2005-03-21,4.230529688856177e-07
2005-03-22,3.995455322878553e-07
2005-03-23,7.12560595233664e-07
2005-03-24,8.555302509135396e-07
2005-03-25,9.94304147128311e-07
2005-03-28,9.941626990458974e-07
2005-03-29,1.017648566581375e-06
2005-03-30,1.0110426028608899e-06
2005-03-31,1.0310599035459611e-06
2005-04-01,1.1110841616895906e-06
2005-04-04,1.180388829097323e-06
2005-04-05,2.59960633746531e-06
2005-04-06,1.3183898417423734e-16
2005-04-07,9.088745113017271e-06
2005-04-08,1.127742621395006e-05
2005-04-11,1.0684320519684098e-05
2005-04-12,1.0245177399260952e-05
2005-04-13,4.163336342344337e-17
2005-04-14,5.503308600579571e-06
2005-04-15,0.0
2005-04-18,4.114628252144259e-06
2005-04-19,2.7755575615628914e-17
2005-04-20,3.210878540139961e-06
2005-04-21,1.3877826611394677e-17
2005-04-22,4.077584417228053e-06
2005-04-25,4.163336342344337e-17
2005-04-26,1.7060620010847516e-05
2005-04-27,6.160035770398642e-06
2005-04-28,3.1296707823572514e-06
2005-04-29,4.661782826936486e-07
2005-05-02,4.227854850253146e-06
2005-05-03,3.454637368789648e-06
2005-05-04,2.516540080189922e-06
2005-05-05,2.169988875484752e-06
2005-05-06,1.5357559181506564e-08
2005-05-09,1.1182701708927553e-06
2005-05-10,1.2023368305275062e-06
2005-05-11,1.3174189584380658e-06
2005-05-12,8.601609328362514e-06
2005-05-13,1.111354103140727e-06
2005-05-16,5.292806869755529e-06
2005-05-17,4.6040354768558944e-06
2005-05-18,4.059018030629832e-06
2005-05-19,3.561164741319635e-06
2005-05-20,2.6643579970880125e-06
2005-05-23,1.820035924472333e-06
2005-05-24,1.2186662850660612e-06
2005-05-25,7.531754815243152e-07
2005-05-26,8.753697247967929e-07
2005-05-27,1.1457613303498873e-06
2005-05-30,6.78340827851959e-07
2005-05-31,1.1172152746071886e-06
2005-06-01,1.2579376270376998e-06
2005-06-02,1.0767916710230363e-06
2005-06-03,1.3564035766015394e-06
2005-06-06,1.0133484178491028e-06
2005-06-07,1.5565482271075266e-06
2005-06-08,3.130838194707019e-06
2005-06-09,6.311289040744654e-07
2005-06-10,1.4648261157408088e-06
2005-06-13,1.5633795512818995e-06
2005-06-14,8.377304952944964e-07
2005-06-15,1.657274817067599e-06
2005-06-16,1.1621318015903054e-06
2005-06-17,1.5132394530196063e-06
2005-06-20,6.760467290915503e-06
2005-06-21,4.014863862313398e-06
2005-06-22,1.6342919574627473e-06
2005-06-23,1.6586543219771608e-06
2005-06-24,9.353968087966452e-06
2005-06-27,2.1327108764387592e-06
2005-06-28,1.0330367714814545e-05
2005-06-29,7.331713012160427e-06
2005-06-30,1.4654804291261425e-06
2005-07-01,2.1902060495991354e-07
2005-07-04,1.0758800325195016e-07
2005-07-05,8.493328033603075e-06
2005-07-06,1.1558205134524303e-05
2005-07-07,3.651137463454473e-07
2005-07-08,1.2470757816602874e-07
2005-07-11,2.8898728101114944e-06
2005-07-12,2.3456784997641367e-06
2005-07-13,1.3467412700099435e-06
2005-07-14,2.7631512709708206e-06
2005-07-15,2.1376238114115265e-06
2005-07-18,1.0827717559555228e-06
2005-07-19,1.7674743143373126e-07
2005-07-20,2.587197696297549e-07
2005-07-21,2.1882037575957016e-07
2005-07-22,1.1359766942424756e-07
2005-07-25,1.7895708926961285e-07
2005-07-26,1.3825170522345979e-07
2005-07-27,3.851085910409999e-08
2005-07-28,3.0004496443746116e-08
2005-07-29,1.104428504662291e-08
2005-08-01,1.2259786715715374e-05
2005-08-02,1.1529486692376129e-05
2005-08-03,7.068836995964556e-06
2005-08-04,1.0534947812973839e-05
2005-08-05,9.5361484842691e-07
2005-08-08,6.982418664530044e-07
2005-08-09,4.328925977595829e-07
2005-08-10,8.87600445988139e-07
2005-08-11,4.436681994834765e-06
2005-08-12,2.1461913399829596e-06
2005-08-15,3.6879390880387164e-06
2005-08-16,0.0
2005-08-17,1.3877787807814457e-17
2005-08-18,1.3877787807814457e-17
2005-08-19,1.270819131870596e-08
2005-08-22,4.6219978438594105e-06
2005-08-23,3.8026377621042107e-06
2005-08-24,2.3911995277907905e-08
2005-08-25,1.1343032478152557e-08
2005-08-26,1.2053923440280915e-06
2005-08-29,3.7001669894942663e-06
2005-08-30,1.2240612299808014e-06
2005-08-31,2.094949273621743e-06
2005-09-01,1.4017589507837418e-06
2005-09-02,6.889185231245049e-07
2005-09-05,6.931945051964063e-07
2005-09-06,6.38171503099547e-07
2005-09-07,4.138204482688241e-07
2005-09-08,1.6371187196383036e-07
2005-09-09,1.2463941420381032e-07
2005-09-12,7.769479826694103e-08
2005-09-13,6.716738874396864e-08
2005-09-14,6.727855692796216e-08
2005-09-15,4.2973566702326234e-08
2005-09-16,1.893450467593182e-05
2005-09-19,1.2944984753313112e-08
2005-09-20,3.5724314682592e-08
2005-09-21,3.3836460333747083e-07
2005-09-22,2.705971913056272e-06
2005-09-23,1.465396608854086e-05
2005-09-26,3.880424494224349e-05
2005-09-27,5.182993609228331e-05
2005-09-28,2.3865680547234536e-05
2005-09-29,2.589182850171179e-05
2005-09-30,2.819849313761419e-05
2005-10-03,2.9690055408086724e-05
2005-10-04,2.97981531635072e-05
2005-10-05,2.255534882290161e-05
2005-10-06,5.989048617763976e-05
2005-10-07,3.1808177699538636e-07
2005-10-10,3.137440164097604e-07
2005-10-11,3.097177720165341e-07
2005-10-12,3.0431095546472465e-07
2005-10-13,2.977917572295163e-07
2005-10-14,2.791384267340374e-07
2005-10-17,2.68287895169859e-07
2005-10-18,2.6140891429958543e-07
2005-10-19,2.4770644714552917e-07
2005-10-20,2.287218867618127e-07
2005-10-21,2.113661445112528e-07
2005-10-24,1.8753397153000915e-07
2005-10-25,1.9162843927866733e-07
2005-10-26,2.0461149379900045e-07
2005-10-27,2.1673349380792237e-07
2005-10-28,2.2047803323889565e-07
2005-10-31,2.458052681170822e-07
2005-11-01,2.600905227562252e-07
2005-11-02,2.685533134299693e-07
2005-11-03,2.790791683501055e-07
2005-11-04,2.838505735187339e-07
2005-11-07,2.8800678923701485e-07
2005-11-08,2.876593046280374e-07
2005-11-09,2.862191892567023e-07
2005-11-10,2.875180199266165e-07
2005-11-11,2.8612689513347534e-07
2005-11-14,2.829683467698751e-07
2005-11-15,2.7981263511027113e-07
2005-11-16,2.772239518035122e-07
2005-11-17,2.748514682833981e-07
2005-11-18,1.4078998780214042e-07
2005-11-21,2.933495593624502e-07
2005-11-22,3.770159964594639e-08
2005-11-23,9.525707898215801e-09
2005-11-24,1.5364625758969443e-05
2005-11-25,1.1665480287613961e-05
2005-11-28,1.579068508161736e-05
2005-11-29,1.465701918216803e-05
2005-11-30,2.6129216201422087e-08
2005-12-01,2.870528752117282e-08
2005-12-02,5.5153907906252295e-08
2005-12-05,2.992997048811841e-08
2005-12-06,1.5291006884175976e-07
2005-12-07,1.7043185063391468e-08
2005-12-08,8.504287704337344e-08
2005-12-09,1.6696828791918147e-08
2005-12-12,1.4739798000836491e-07
2005-12-13,1.6583857316639414e-07
2005-12-14,1.3091537784750702e-07
2005-12-15,1.0700651874612611e-07
2005-12-16,2.6682508187763554e-08
2005-12-19,2.1490370727911042e-08
2005-12-20,2.5089505605035978e-08
2005-12-21,1.775174687107528e-08
2005-12-22,4.975167489790211e-08
2005-12-23,8.163962723906071e-08
2005-12-26,1.3477660814624508e-07
2005-12-27,1.6444097238520312e-07
2005-12-28,8.34926051720384e-08
2005-12-29,1.4639849114794195e-08
2005-12-30,3.908458107160229e-08
2006-01-02,5.4425752557540896e-08
2006-01-03,5.564853903378131e-08
2006-01-04,1.9856677790504882e-05
2006-01-05,4.401054452806116e-06
2006-01-06,3.1392510721991477e-06
2006-01-09,2.242354315199445e-06
2006-01-10,1.5132047841047908e-05
2006-01-11,4.7905273394237955e-06
2006-01-12,9.969520659090791e-06
2006-01-13,1.2442640768182966e-05
2006-01-16,1.0911244392779185e-05
2006-01-17,6.9809939083243985e-06
2006-01-18,1.111856815699062e-05
2006-01-19,5.562252343927627e-06
2006-01-20,6.5912777245950194e-06
2006-01-23,4.31331287119372e-06
2006-01-24,4.1705347312499256e-06
2006-01-25,3.981317957203368e-06
2006-01-26,3.8819437001361146e-06
2006-01-27,3.8070138847906554e-06
2006-01-30,3.7133030982225423e-06
2006-01-31,3.6214665202968788e-06
2006-02-01,3.54161099875433e-06
2006-02-02,3.4769205941240222e-06
2006-02-03,3.4422068734898947e-06
2006-02-06,3.4248260399119546e-06
2006-02-07,3.411244590557916e-06
2006-02-08,3.425695645840887e-06
2006-02-09,7.606698806774128e-06
2006-02-10,4.18250187001369e-06
2006-02-13,6.5106089430861745e-06
2006-02-14,1.090600165047086e-05
2006-02-15,7.266663908121824e-06
2006-02-16,1.0706076413267622e-05
2006-02-17,1.3734151785629422e-06
2006-02-20,9.914565932545532e-07
2006-02-21,7.070531429951898e-07
2006-02-22,4.997064037996738e-07
2006-02-23,3.497420169416947e-07
2006-02-24,2.556542842037521e-07
2006-02-27,1.8278343014165832e-07
2006-02-28,1.2751889104194753e-07
2006-03-01,9.045939177728025e-08
2006-03-02,6.530592233731556e-08
2006-03-03,5.1211661017507665e-08
2006-03-06,4.291232723012103e-08
2006-03-07,3.661851015622391e-08
2006-03-08,3.075765878255031e-08
2006-03-09,2.5650283513647425e-08
2006-03-10,2.1820217848984845e-08
2006-03-13,0.40111412923572193
2006-03-14,3.5258084098996125e-05
2006-03-15,2.918464783830354e-06
2006-03-16,2.57434947761831e-06
2006-03-17,2.011118247966705e-06
2006-03-20,2.1350236045864098e-06
2006-03-21,2.2378998418532535e-06
2006-03-22,1.2630779765414912e-06
2006-03-23,2.1420625925132016e-06
2006-03-24,1.245844743768704e-06
2006-03-27,1.8377296756131525e-06
2006-03-28,4.681508817758808e-05
2006-03-29,5.643563629076898e-06
2006-03-30,5.009032392292327e-06
2006-03-31,4.392704061480178e-06
2006-04-03,3.832982993232638e-06
2006-04-04,3.3395618401077526e-06
2006-04-05,2.9033641310932296e-06
2006-04-06,2.5287372802535315e-06
2006-04-07,2.1983385197216914e-06
2006-04-10,1.9044317956313233e-06
2006-04-11,1.6479342805121335e-06
2006-04-12,4.124045501315163e-06
2006-04-13,2.1123695215992238e-05
2006-04-14,2.4394206146270177e-05
2006-04-17,2.803091976533342e-07
2006-04-18,9.997612524404063e-07
2006-04-19,1.1444343253832442e-06
2006-04-20,0.009185550604273016
2006-04-21,0.01034400812540388
2006-04-24,0.01154735147208779
2006-04-25,0.004797950951871863
2006-04-26,0.006015078578710312
2006-04-27,0.007686320812459239
2006-04-28,0.006573832274562357
2006-05-01,0.008572972564322719
2006-05-02,0.008697731730562428
2006-05-03,0.0030396767913887165
2006-05-04,0.00304945889962649
2006-05-05,0.004001521489402111
2006-05-08,0.004094263756584389
2006-05-09,0.0037304043107823275
2006-05-10,0.0052247982106514495
2006-05-11,0.005594896264693943
2006-05-12,0.006323179100068432
2006-05-15,0.005827770115046704
2006-05-16,0.0032379464010745063
2006-05-17,0.0036173745488455615
2006-05-18,0.0026752551219232394
2006-05-19,0.0020225637513242925
2006-05-22,0.0018660412329176007
2006-05-23,0.0018322976174384373
2006-05-24,0.0013269342353112515
2006-05-25,0.00085740162408042
2006-05-26,0.0006488707502920178
2006-05-29,0.00045038945794932146
2006-05-30,0.000503210588373485
2006-05-31,0.00044913767604186274
2006-06-01,0.000753691576655261
2006-06-02,0.0006687323491395908
2006-06-05,0.0015104753375820466
2006-06-06,0.001305720127009212
2006-06-07,0.0012532635468548714
2006-06-08,0.00154402005418236
2006-06-09,0.0015912362975058075
2006-06-12,0.0007167204655698899
2006-06-13,0.0004493349675836245
2006-06-14,2.254632000140163e-06
2006-06-15,0.0006842855733844395
2006-06-16,0.0010117509430885505
2006-06-19,0.0009418672050156747
2006-06-20,0.0006248974228612755
2006-06-21,0.002983084306432254
2006-06-22,0.0029227619933687096
2006-06-23,0.0027165102087735767
2006-06-26,0.0025835863667424443
2006-06-27,0.0024972501535221008
2006-06-28,0.002089242386678642
2006-06-29,0.0018842845846868093
2006-06-30,0.0017033147341303026
2006-07-03,0.0018495671674196718
2006-07-04,0.00201312012865831
2006-07-05,0.001978655179165789
2006-07-06,0.0020346611419304883
2006-07-07,0.001979663387588579
2006-07-10,0.001671758360478847
2006-07-11,0.0018107857689147466
2006-07-12,0.0020444792337516587
2006-07-13,0.00204583462403498
2006-07-14,0.0017663412208604942
2006-07-17,0.0016308420770884957
2006-07-18,0.0013964192223151779
2006-07-19,0.0007812450957464107
2006-07-20,0.0013494972972314164
2006-07-21,0.000900358856981455
2006-07-24,0.0006329958454295345
2006-07-25,0.0005892052059245523
2006-07-26,0.0006064435076393766
2006-07-27,0.0004455711416693927
2006-07-28,0.0003900346749094308
2006-07-31,0.000575702494950143
2006-08-01,0.00041248194236428136
2006-08-02,0.0004258988242288741
2006-08-03,2.029761549801362e-05
2006-08-04,0.00010238371167315587
2006-08-07,8.068517550836543e-05
2006-08-08,3.2068370384152425e-06
2006-08-09,2.8369095771323635e-06
2006-08-10,2.5475816554748742e-06
2006-08-11,2.3021396815412886e-06
2006-08-14,2.16829744222022e-06
2006-08-15,0.0002134470571851377
2006-08-16,0.0003197132960441022
2006-08-17,0.00047763351037346087
2006-08-18,0.0005405563130661453
2006-08-21,0.0003937436010100495
2006-08-22,0.0004203845948093359
2006-08-23,0.0003793799932456723
2006-08-24,0.0001937592884920191
2006-08-25,0.0001319983517562577
2006-08-28,0.00028638360272996086
2006-08-29,0.000572138806159376
2006-08-30,0.001175936554543084
2006-08-31,0.0011861806202232055
2006-09-01,0.0011656245435265446
2006-09-04,0.0006757371885837782
2006-09-05,0.0009307851709182042
2006-09-06,0.0014610678436991573
2006-09-07,0.0013849482289873983
2006-09-08,0.0011632195688263346
2006-09-11,0.0010380676862462353
2006-09-12,0.0005072054723100013
2006-09-13,0.0005847389864517622
2006-09-14,0.0007995185260939587
2006-09-15,0.0009101719393060795
2006-09-18,0.0009967010052274914
2006-09-19,0.0009295331301233913
2006-09-20,0.0002796294521461406
2006-09-21,0.0006754825974372264
2006-09-22,0.0007340225707377254
2006-09-25,0.0005641461545766251
2006-09-26,5.0624775378321366e-06
2006-09-27,4.722104138652774e-06
2006-09-28,4.525867535092703e-06
2006-09-29,4.089526641459927e-06
2006-10-02,3.5262435797818233e-06
2006-10-03,4.31154923318975e-06
2006-10-04,3.581856408615856e-06
2006-10-05,3.7198382059752173e-06
2006-10-06,3.464769010199096e-06
2006-10-09,3.6011590664342097e-06
2006-10-10,3.2999963242577114e-06
2006-10-11,2.601919003927113e-06
2006-10-12,2.10674184029958e-06
2006-10-13,9.159055208208138e-07
2006-10-16,4.645104493419115e-07
2006-10-17,4.119787125071493e-06
2006-10-18,3.57863092577404e-06
2006-10-19,3.125010793025851e-06
2006-10-20,2.728669240892323e-06
2006-10-23,2.3829104300737702e-06
2006-10-24,2.082570223688185e-06
2006-10-25,1.8218138735787148e-06
2006-10-26,1.5959450315600199e-06
2006-10-27,1.4034171358784375e-06
2006-10-30,1.2342623304378852e-06
2006-10-31,1.0850543329804507e-06
2006-11-01,9.466908098693105e-07
2006-11-02,8.228789058345454e-07
2006-11-03,7.161905519754862e-07
2006-11-06,6.254325117978442e-07
2006-11-07,5.440617084085761e-07
2006-11-08,4.7208767913882625e-07
2006-11-09,4.593839945801502e-06
2006-11-10,3.817048196290152e-06
2006-11-13,3.304195715512433e-06
2006-11-14,2.975777740456131e-06
2006-11-15,2.7684066255118936e-06
2006-11-16,2.5531767922530833e-06
2006-11-17,2.4458428834924118e-06
2006-11-20,2.3438277307692583e-06
2006-11-21,2.278279853478666e-06
2006-11-22,2.1392932121340344e-06
2006-11-23,3.988173853900724e-06
2006-11-24,2.760750351068129e-06
2006-11-27,3.839567478726911e-06
2006-11-28,2.8969732224422965e-06
2006-11-29,3.7110398159525396e-06
2006-11-30,2.9505559227994426e-06
2006-12-01,2.3100550529592243e-06
2006-12-04,1.857857513178067e-06
2006-12-05,4.040292595492058e-06
2006-12-06,2.276880329781751e-06
2006-12-07,3.849820312947739e-06
2006-12-08,2.7394064911269587e-06
2006-12-11,3.778899292559854e-06
2006-12-12,3.0501097805866984e-06
2006-12-13,3.7366849358154397e-06
2006-12-14,3.189226210013219e-06
2006-12-15,3.6986526610778842e-06
2006-12-18,3.3295743635932103e-06
2006-12-19,3.6862204315908894e-06
2006-12-20,3.442339853563735e-06
2006-12-21,3.6810797581592878e-06
2006-12-22,3.5508077041611115e-06
2006-12-25,3.6946813164766042e-06
2006-12-26,3.656039052912473e-06
2006-12-27,3.7112301895733323e-06
2006-12-28,3.383443403487511e-06
2006-12-29,2.4450594848711138e-06
2007-01-01,2.102149891868459e-06
2007-01-02,4.010504056841302e-06
2007-01-03,2.3436992454564913e-06
2007-01-04,1.2724302999997968e-06
2007-01-05,8.146200634853764e-07
2007-01-08,5.185351802572406e-07
2007-01-09,4.0876225364669016e-06
2007-01-10,3.536302133122504e-06
2007-01-11,3.0831445773787935e-06
2007-01-12,2.687997265798936e-06
2007-01-15,2.343947652139189e-06
2007-01-16,2.044020786656775e-06
