date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2005-01-03,0.35904934,0.38945566,0.05754767,0.01884874,0.17509859,-0.00342307,-0.00342307,3,1,0.99999998,5,0.00000000
2005-01-04,0.35904923,0.38945558,0.05754759,0.01884908,0.17509851,-0.00468572,-0.00810879,3,1,1.00000000,5,0.00000034
2005-01-05,0.35904724,0.38945423,0.05754631,0.01885507,0.17509714,0.00060816,-0.00750063,3,1,0.99999999,5,0.00000599
2005-01-06,0.35904566,0.38945315,0.05754531,0.01885981,0.17509606,0.00220229,-0.00529834,3,1,0.99999999,5,0.00000473
2005-01-07,0.35904564,0.38945314,0.05754530,0.01885988,0.17509605,-0.00138573,-0.00668407,3,1,1.00000000,5,0.00000007
2005-01-10,0.35904561,0.38945312,0.05754528,0.01885996,0.17509603,0.00238832,-0.00429575,4,1,0.99999999,5,0.00000008
2005-01-11,0.35904557,0.38945309,0.05754526,0.01886007,0.17509600,-0.00195607,-0.00625182,4,1,1.00000000,5,0.00000011
2005-01-12,0.35904555,0.38945308,0.05754524,0.01886014,0.17509599,0.00216285,-0.00408897,4,1,1.00000000,5,0.00000007
2005-01-13,0.35904553,0.38945306,0.05754523,0.01886021,0.17509597,-0.00221595,-0.00630492,4,1,0.99999999,5,0.00000007
2005-01-14,0.35904549,0.38945304,0.05754520,0.01886034,0.17509594,0.00222330,-0.00408162,4,1,1.00000000,5,0.00000012
2005-01-17,0.08866378,0.80000000,0.05754520,0.00523649,0.04855453,-0.00009185,-0.00417346,5,2,0.99898563,5,0.41054696
2005-01-18,0.08866043,0.80000795,0.05754383,0.00523454,0.04855325,0.00243626,-0.00173720,5,2,0.99713340,5,0.00000795
2005-01-19,0.08865754,0.80001432,0.05754279,0.00523305,0.04855230,-0.00031503,-0.00205223,5,2,0.99793912,5,0.00000637
2005-01-20,0.08865484,0.80001979,0.05754204,0.00523170,0.04855163,0.00098179,-0.00107045,5,2,0.99874585,5,0.00000547
2005-01-21,0.08865700,0.80001804,0.05754414,0.00522704,0.04855379,0.00200092,0.00093048,5,2,0.99969390,5,0.00000641
2005-01-24,0.08865720,0.80002014,0.05754240,0.00522805,0.04855221,0.00054825,0.00147872,4,2,0.99999753,5,0.00000331
2005-01-25,0.08865723,0.80002227,0.05754072,0.00522904,0.04855074,-0.00392688,-0.00244816,4,2,0.99999228,5,0.00000315
2005-01-26,0.08865851,0.80001721,0.05754216,0.00523003,0.04855210,0.00089814,-0.00155001,4,2,0.99999874,5,0.00000506
2005-01-27,0.08865847,0.80001900,0.05754075,0.00523090,0.04855088,-0.00086322,-0.00241323,4,2,0.99999878,5,0.00000266
2005-01-28,0.08865768,0.80002172,0.05753934,0.00523144,0.04854982,0.00411315,0.00169992,4,2,0.99999521,5,0.00000326
2005-01-31,0.09332703,0.79535831,0.05753908,0.00522583,0.04854974,0.00066822,0.00236813,4,1,0.99999856,5,0.00466934
2005-02-01,0.09334262,0.79535601,0.05753641,0.00521729,0.04854767,0.00045737,0.00282550,4,1,0.99999323,5,0.00001559
2005-02-02,0.09789136,0.79081172,0.05753622,0.00521309,0.04854762,-0.00005289,0.00277261,4,1,0.99997120,5,0.00454874
2005-02-03,0.10003695,0.78867248,0.05753593,0.00520713,0.04854751,-0.00210616,0.00066645,4,1,0.99989755,5,0.00214559
