variable,F1,F2,F3,F4,F5,F6,F7
RPI,0.04541479122124492,0.018561301673397534,0.021333909268774653,0.0062975228325783394,4.139749863687481e-4,1.1979726048960693e-4,0.002859220260599149
W875RX1,0.1540609091371562,0.01964696570806912,0.030360498144084924,0.007402561232808247,0.0024168428916252482,0.006555765779674982,0.021789936802459442
DPCERA3M086SBEA,0.09942683297336496,0.003865762878852652,0.007526677015636696,0.014022331231324903,0.005307231477872487,0.05695879999920794,0.045802251880832534
CMRMTSPLx,0.2541406138713814,0.007654231051567151,0.011305703295680258,0.005379247038282742,0.001329833854441076,0.018693112170893866,0.037278347608532436
RETAILx,0.12692946925736792,0.02378531404968076,0.010157453644897396,0.006631358495480355,4.4891726096241147e-4,0.04691317331061706,0.075337218437598
INDPRO,0.49922978940390816,1.6333933205392448e-4,0.025650557890513404,0.001869332625550224,8.285990304801594e-5,0.005655845544182192,0.03325803672032235
IPFPNSS,0.4918775714819048,7.818120706941656e-4,0.01366401432590214,1.352869802360157e-4,3.5725763176641667e-4,0.016160340147698182,0.01824399307557789
IPFINAL,0.43203163314890447,0.002773441601218174,0.01876173750359489,4.6455019649238594e-4,0.003194898371474575,0.021921366400741382,0.02308988838518533
IPCONGD,0.3247561842348252,0.013977670396615904,0.025292622618245497,1.5713924265692292e-4,0.001620674505644848,0.058308945483403596,0.03373681919689031
IPDCONGD,0.26957368212261523,0.00958738965752337,0.030169659851455366,5.7212389081851e-7,5.163132475172194e-5,0.017192288344145656,0.008894762330015515
IPNCONGD,0.1819579979938316,0.005727452656700938,0.005249419519401388,6.918878989758959e-4,0.0068053651590199715,0.04050204228218923,0.04138397396263849
IPBUSEQ,0.3691342980765331,0.0010599433174933726,0.0043714976175937,0.001246959609508047,0.0020146052263674274,1.8480662031195028e-4,0.003067186034644065
IPMAT,0.33555656547530555,0.00212999773019118,0.029399633831851957,0.006360306021676365,2.0079105167436495e-7,2.3920582384506783e-4,0.039534120106548
IPDMAT,0.3705950832808612,5.362131273933812e-5,0.013477994831929574,0.0020755667169236602,0.0014140378360223416,9.559396537126563e-4,0.013724129520157557
IPNMAT,0.3016520161609879,1.9462641444722983e-4,0.012372504145351515,0.002699889945545708,5.525551365466175e-4,0.013173741784877513,0.017130605069535898
IPMANSICS,0.5353382437452705,6.558254379497308e-4,0.015937790130733598,2.4395780733510453e-4,1.4824092289933422e-4,0.005029118040587033,0.017945089530158276
IPB51222S,0.007374214491357778,9.787291072805848e-4,6.755303600947116e-7,0.005714469045336901,5.086695377076733e-5,0.012890336857159346,0.004721509299675075
IPFUELS,0.11256126557740553,0.009173954819114316,0.00696187163283335,0.003167961770337957,0.01522595571094354,0.016913314917174294,0.00881724086978597
CUMFNS,0.4905162711346137,0.006576484750095313,0.03409643530847273,0.0039042497627084227,0.001453118369589279,0.0024647043106801325,0.017359309355950536
HWI,0.17864488299507142,0.009003364930856739,0.001815310915482038,4.745963732076808e-4,0.01005183202098725,0.011059956287097994,0.023760838353032332
HWIURATIO,0.14261742132563338,1.9015593004723108e-4,0.0013832515513420018,0.004366636221583398,0.05510273805015109,0.04362163603340363,0.06353202961784843
CLF16OV,0.04570188139413933,8.05258356365135e-4,0.025189389378385663,0.008536128038614699,6.328042345020712e-4,7.827794295965917e-4,0.01671003908883606
CE16OV,0.20336847747551778,0.00483802514973497,0.01841898758502125,6.83154726734192e-4,0.015024739402523135,0.03304163859523834,0.0633049986009171
UNRATE,0.22215396223646122,0.0026155063386374966,1.9816810255313122e-5,0.0064947310001677305,0.04489720364748517,0.08898521566360562,0.05835331662502341
UEMPMEAN,0.008856956515681635,0.05570852941829674,0.021106860998151178,7.557659653268933e-4,0.014931030831611403,0.09290636508262162,0.023293877305612276
UEMPLT5,0.03461078879910362,0.00936434777251427,0.0017035662137415697,0.0034585730325110697,0.0023176230473876958,0.004245746571908571,0.040538351754693336
UEMP5TO14,0.06176368027157386,2.036317795418574e-4,9.001891334504686e-4,7.52479266326489e-4,0.010257539146903527,0.010345851513232973,0.014357488868615542
UEMP15OV,0.018838562493780575,0.08536748467566735,0.0035247818414086973,0.0026504302582064376,0.0704270628939383,0.2793299449416874,0.004033901605092982
UEMP15T26,0.01476276539130661,0.023820785516359133,1.4158369467387466e-5,6.701531034747354e-4,0.028263197077627367,0.11850586156154586,5.72400477017454e-4
