date,Q1,Q2,Q3,Q4,Q5
1969-02-28,NA,NA,NA,NA,NA
1969-03-31,NA,NA,NA,NA,NA
1969-04-30,NA,NA,NA,NA,NA
1969-05-31,NA,NA,NA,NA,NA
1969-06-30,NA,NA,NA,NA,NA
1969-07-31,NA,NA,NA,NA,NA
1969-08-31,NA,NA,NA,NA,NA
1969-09-30,NA,NA,NA,NA,NA
1969-10-31,NA,NA,NA,NA,NA
1969-11-30,NA,NA,NA,NA,NA
1969-12-31,NA,NA,NA,NA,NA
1970-01-31,NA,NA,NA,NA,NA
1970-02-28,NA,NA,NA,NA,NA
1970-03-31,NA,NA,NA,NA,NA
1970-04-30,NA,NA,NA,NA,NA
1970-05-31,NA,NA,NA,NA,NA
1970-06-30,NA,NA,NA,NA,NA
1970-07-31,NA,NA,NA,NA,NA
1970-08-31,NA,NA,NA,NA,NA
1970-09-30,NA,NA,NA,NA,NA
1970-10-31,NA,NA,NA,NA,NA
1970-11-30,NA,NA,NA,NA,NA
1970-12-31,NA,NA,NA,NA,NA
1971-01-31,NA,NA,NA,NA,NA
1971-02-28,NA,NA,NA,NA,NA
1971-03-31,NA,NA,NA,NA,NA
1971-04-30,NA,NA,NA,NA,NA
1971-05-31,NA,NA,NA,NA,NA
1971-06-30,NA,NA,NA,NA,NA
1971-07-31,NA,NA,NA,NA,NA
1971-08-31,NA,NA,NA,NA,NA
1971-09-30,NA,NA,NA,NA,NA
1971-10-31,NA,NA,NA,NA,NA
1971-11-30,NA,NA,NA,NA,NA
1971-12-31,NA,NA,NA,NA,NA
1972-01-31,NA,NA,NA,NA,NA
1972-02-29,NA,NA,NA,NA,NA
1972-03-31,NA,NA,NA,NA,NA
1972-04-30,NA,NA,NA,NA,NA
1972-05-31,NA,NA,NA,NA,NA
1972-06-30,NA,NA,NA,NA,NA
1972-07-31,NA,NA,NA,NA,NA
1972-08-31,NA,NA,NA,NA,NA
1972-09-30,NA,NA,NA,NA,NA
1972-10-31,NA,NA,NA,NA,NA
1972-11-30,NA,NA,NA,NA,NA
1972-12-31,0.015333333333333332,0.02186666666666667,0.014733333333333334,0.02186666666666667,0.0011333333333333334
1973-01-31,-0.0011000000000000014,0.0105,0.011166666666666665,0.012433333333333333,-0.009166666666666667
1973-02-28,-1.499999999999991e-4,0.02165,0.01505,-0.0011166666666666658,-0.02148333333333333
1973-03-31,0.015416666666666667,0.010983333333333333,0.005183333333333334,0.011083333333333332,-0.018616666666666667
1973-04-30,0.04068333333333333,-0.009783333333333331,0.00915,0.03551666666666667,-0.04068333333333333
1973-05-31,0.01615,-0.012216666666666667,0.026950000000000002,0.021650000000000003,0.0042499999999999994
1973-06-30,-0.011583333333333333,0.01635,0.01045,0.011883333333333334,0.01568333333333333
1973-07-31,0.015233333333333335,-0.009033333333333332,-0.05383333333333332,-0.05413333333333333,-0.05413333333333333
1973-08-31,-0.0213,0.0213,0.0169,-0.0010000000000000009,0.0169
1973-09-30,-0.015216666666666668,5.833333333333338e-4,6.500000000000001e-4,0.015216666666666668,-0.022616666666666663
1973-10-31,0.005466666666666666,-0.0015999999999999996,-0.021,0.017133333333333334,0.017133333333333334
1973-11-30,-0.06251666666666666,-0.02351666666666667,0.06251666666666666,0.05328333333333333,0.05328333333333333
1973-12-31,-0.00785,0.041350000000000005,0.010216666666666667,-0.010216666666666667,0.02975
1974-01-31,0.05418333333333333,0.020083333333333335,-0.020083333333333335,-0.009649999999999999,-0.019383333333333332
1974-02-28,0.010066666666666666,-0.006666666666666667,-0.010066666666666666,0.006666666666666667,0.005833333333333333
1974-03-31,-0.003999999999999999,-0.005666666666666667,0.0023333333333333335,0.003999999999999999,0.0030666666666666676
1974-04-30,-0.016083333333333335,0.016083333333333335,0.022949999999999998,-0.012750000000000003,0.012750000000000003
1974-05-31,-0.014616666666666665,0.023716666666666664,0.00755,0.025783333333333335,-0.002150000000000001
1974-06-30,-0.0029999999999999996,-0.0063,-0.006466666666666667,0.015866666666666664,0.0031666666666666666
1974-07-31,0.006066666666666665,-0.006066666666666665,0.008933333333333333,0.02613333333333334,0.02613333333333334
1974-08-31,-0.012016666666666669,-0.029383333333333334,-0.0028833333333333354,0.018316666666666672,-0.0019500000000000032
1974-09-30,-0.003183333333333332,0.015850000000000003,0.03578333333333333,-0.010950000000000001,-0.050216666666666666
1974-10-31,0.01813333333333333,0.03730000000000001,-0.03730000000000001,-0.03826666666666668,-0.02856666666666667
1974-11-30,-0.023683333333333334,0.008583333333333333,0.013116666666666667,-0.011649999999999999,0.012283333333333334
1974-12-31,-0.010700000000000001,0.02493333333333333,0.010499999999999997,-7.666666666666678e-4,0.008166666666666668
1975-01-31,0.037233333333333334,0.056133333333333334,-0.056133333333333334,-0.0346,-0.037233333333333334
1975-02-28,0.021999999999999995,0.003833333333333333,-0.018099999999999995,0.018099999999999995,-0.018099999999999995
1975-03-31,0.01478333333333333,-0.0017499999999999996,0.011483333333333333,-0.018683333333333333,-0.018683333333333333
1975-04-30,-0.014883333333333333,0.00985,0.012616666666666665,0.014883333333333333,-0.01025
1975-05-31,-0.02416666666666667,-0.010666666666666666,-0.0030666666666666668,0.0204,0.010466666666666668
1975-06-30,-0.0188,-0.002700000000000001,-0.014499999999999999,0.014366666666666666,0.002700000000000001
1975-07-31,-0.011483333333333333,5.166666666666667e-4,-5.166666666666667e-4,-0.016216666666666667,0.0016500000000000002
1975-08-31,0.010766666666666667,0.0041,-0.0146,-0.0041,-0.0041
1975-09-30,0.009166666666666665,-0.007200000000000001,-0.007033333333333333,0.009166666666666665,-0.008333333333333331
1975-10-31,0.019833333333333335,0.017933333333333336,-0.003099999999999999,0.001366666666666666,0.001366666666666666
1975-11-30,-0.003966666666666666,0.010599999999999998,0.0017666666666666664,0.010599999999999998,0.003966666666666666
1975-12-31,-0.007066666666666666,-0.006866666666666666,0.006700000000000001,0.006700000000000001,0.006700000000000001
1976-01-31,0.017683333333333332,0.03225,-0.03705,-0.044816666666666664,0.03898333333333332
1976-02-29,-0.006849999999999999,-5.833333333333335e-4,-0.0016499999999999985,-0.0016499999999999985,-0.0016499999999999985
1976-03-31,0.004066666666666667,0.007366666666666667,-9.000000000000001e-4,-3.6666666666666656e-4,9.000000000000001e-4
1976-04-30,0.005416666666666667,-0.0030166666666666675,0.00595,1.4999999999999982e-4,-0.00445
1976-05-31,-0.0026333333333333334,0.014366666666666666,0.0016666666666666663,0.0018666666666666675,-0.006233333333333334
1976-06-30,0.009600000000000001,-0.0039000000000000003,-0.0039000000000000003,0.009733333333333333,0.003766666666666667
1976-07-31,-8.500000000000001e-4,0.002183333333333333,0.0010833333333333335,-0.0056166666666666665,0.002183333333333333
1976-08-31,-0.004050000000000001,8.166666666666665e-4,0.001983333333333333,0.005316666666666667,0.004050000000000001
1976-09-30,0.005749999999999999,0.007449999999999999,0.004316666666666667,-0.004183333333333333,-0.007449999999999999
1976-10-31,-0.0028166666666666665,-0.00605,0.0038166666666666674,0.0026499999999999996,0.0028166666666666665
1976-11-30,0.0010666666666666665,-0.003800000000000001,-0.005266666666666667,6.666666666666568e-5,0.013433333333333334
1976-12-31,-0.007666666666666666,0.007666666666666666,-0.004300000000000001,-0.007666666666666666,-0.007666666666666666
1977-01-31,-0.01495,-0.007683333333333333,-0.006716666666666667,0.01315,0.01495
1977-02-28,0.0021333333333333334,-0.0037000000000000006,0.0028333333333333335,0.006333333333333333,0.0021333333333333334
1977-03-31,-0.0018000000000000002,-0.002166666666666667,-0.0011333333333333334,-9.333333333333329e-4,0.0034000000000000002
1977-04-30,0.0068333333333333345,-0.004933333333333331,0.009800000000000001,0.0014666666666666647,0.0164
1977-05-31,0.0052166666666666655,-0.0025166666666666658,0.0025166666666666658,0.0059499999999999996,0.004516666666666666
1977-06-30,-0.006099999999999999,0.006366666666666666,-0.008266666666666667,-0.010333333333333333,-0.006366666666666666
1977-07-31,-0.00515,-0.0031500000000000005,4.8333333333333274e-4,0.0031500000000000005,8.833333333333328e-4
1977-08-31,-0.0031,0.0088,0.0033666666666666667,-0.0088,-0.0088
1977-09-30,0.0043,0.0025333333333333328,0.0012666666666666662,0.006666666666666668,-0.0018000000000000002
1977-10-31,0.00655,-0.0072499999999999995,0.006849999999999999,0.00655,0.006849999999999999
1977-11-30,-0.010749999999999997,-0.007716666666666666,-0.00848333333333333,0.010749999999999997,-0.0075166666666666646
1977-12-31,0.003616666666666667,-5.166666666666665e-4,0.00265,-5.166666666666665e-4,-0.003616666666666667
1978-01-31,0.004449999999999998,0.01885,-0.0011166666666666677,0.0043833333333333354,0.01565
1978-02-28,0.003016666666666666,-0.0016166666666666656,0.014350000000000002,0.0020166666666666657,3.1666666666666535e-4
1978-03-31,0.005383333333333334,0.007050000000000001,-0.007949999999999999,0.009949999999999999,0.0072833333333333335
1978-04-30,0.0016666666666666668,0.0010333333333333314,-0.004266666666666666,-0.024566666666666667,-0.0010333333333333314
1978-05-31,7.500000000000001e-4,0.010016666666666667,-0.00415,-0.0066500000000000005,0.005116666666666667
1978-06-30,-0.002466666666666667,-0.007699999999999999,0.01333333333333333,0.007866666666666666,0.005699999999999999
1978-07-31,1.6666666666666796e-4,0.020566666666666667,-0.020566666666666667,-0.007166666666666666,0.018133333333333335
