"date","sp500","copper_future","copper_spot","oil_future","vix","us10y"
1927-12-30,17.66,NA,NA,NA,NA,NA
1928-01-03,17.76,NA,NA,NA,NA,NA
1928-01-04,17.72,NA,NA,NA,NA,NA
1928-01-05,17.55,NA,NA,NA,NA,NA
1928-01-06,17.66,NA,NA,NA,NA,NA
1928-01-09,17.5,NA,NA,NA,NA,NA
1928-01-10,17.37,NA,NA,NA,NA,NA
1928-01-11,17.35,NA,NA,NA,NA,NA
1928-01-12,17.47,NA,NA,NA,NA,NA
1928-01-13,17.58,NA,NA,NA,NA,NA
1928-01-16,17.29,NA,NA,NA,NA,NA
1928-01-17,17.3,NA,NA,NA,NA,NA
1928-01-18,17.26,NA,NA,NA,NA,NA
1928-01-19,17.38,NA,NA,NA,NA,NA
1928-01-20,17.48,NA,NA,NA,NA,NA
1928-01-23,17.64,NA,NA,NA,NA,NA
1928-01-24,17.71,NA,NA,NA,NA,NA
1928-01-25,17.52,NA,NA,NA,NA,NA
1928-01-26,17.63,NA,NA,NA,NA,NA
1928-01-27,17.69,NA,NA,NA,NA,NA
1928-01-30,17.49,NA,NA,NA,NA,NA
1928-01-31,17.57,NA,NA,NA,NA,NA
1928-02-01,17.53,NA,NA,NA,NA,NA
1928-02-02,17.63,NA,NA,NA,NA,NA
1928-02-03,17.4,NA,NA,NA,NA,NA
1928-02-06,17.45,NA,NA,NA,NA,NA
1928-02-07,17.44,NA,NA,NA,NA,NA
1928-02-08,17.49,NA,NA,NA,NA,NA
1928-02-09,17.55,NA,NA,NA,NA,NA
1928-02-10,17.54,NA,NA,NA,NA,NA
1928-02-14,17.44,NA,NA,NA,NA,NA
1928-02-15,17.4,NA,NA,NA,NA,NA
1928-02-16,17.35,NA,NA,NA,NA,NA
1928-02-17,17.04,NA,NA,NA,NA,NA
1928-02-20,16.95,NA,NA,NA,NA,NA
1928-02-21,17.11,NA,NA,NA,NA,NA
1928-02-23,17.13,NA,NA,NA,NA,NA
1928-02-24,17.18,NA,NA,NA,NA,NA
1928-02-27,17.11,NA,NA,NA,NA,NA
1928-02-28,17.16,NA,NA,NA,NA,NA
1928-02-29,17.26,NA,NA,NA,NA,NA
1928-03-01,17.3,NA,NA,NA,NA,NA
1928-03-02,17.3,NA,NA,NA,NA,NA
1928-03-05,17.57,NA,NA,NA,NA,NA
1928-03-06,17.67,NA,NA,NA,NA,NA
1928-03-07,17.58,NA,NA,NA,NA,NA
1928-03-08,17.64,NA,NA,NA,NA,NA
1928-03-09,17.93,NA,NA,NA,NA,NA
1928-03-12,18,NA,NA,NA,NA,NA
1928-03-13,17.92,NA,NA,NA,NA,NA
1928-03-14,17.93,NA,NA,NA,NA,NA
1928-03-15,18.07,NA,NA,NA,NA,NA
1928-03-16,18.26,NA,NA,NA,NA,NA
1928-03-19,18.36,NA,NA,NA,NA,NA
1928-03-20,18.46,NA,NA,NA,NA,NA
1928-03-21,18.65,NA,NA,NA,NA,NA
1928-03-22,18.6,NA,NA,NA,NA,NA
1928-03-23,18.78,NA,NA,NA,NA,NA
1928-03-26,19.05,NA,NA,NA,NA,NA
1928-03-27,18.94,NA,NA,NA,NA,NA
1928-03-28,18.89,NA,NA,NA,NA,NA
1928-03-29,18.95,NA,NA,NA,NA,NA
1928-03-30,19.28,NA,NA,NA,NA,NA
1928-04-02,18.91,NA,NA,NA,NA,NA
1928-04-03,19.02,NA,NA,NA,NA,NA
1928-04-04,18.99,NA,NA,NA,NA,NA
1928-04-05,19.23,NA,NA,NA,NA,NA
1928-04-09,19.27,NA,NA,NA,NA,NA
1928-04-10,19.1,NA,NA,NA,NA,NA
1928-04-11,19.44,NA,NA,NA,NA,NA
1928-04-12,19.41,NA,NA,NA,NA,NA
1928-04-13,19.73,NA,NA,NA,NA,NA
1928-04-16,19.68,NA,NA,NA,NA,NA
1928-04-17,19.52,NA,NA,NA,NA,NA
1928-04-18,19.52,NA,NA,NA,NA,NA
1928-04-19,19.63,NA,NA,NA,NA,NA
1928-04-20,19.34,NA,NA,NA,NA,NA
1928-04-23,19.15,NA,NA,NA,NA,NA
1928-04-24,19.25,NA,NA,NA,NA,NA
1928-04-25,19.33,NA,NA,NA,NA,NA
1928-04-26,19.47,NA,NA,NA,NA,NA
1928-04-27,19.68,NA,NA,NA,NA,NA
1928-04-30,19.75,NA,NA,NA,NA,NA
1928-05-01,19.78,NA,NA,NA,NA,NA
1928-05-02,19.83,NA,NA,NA,NA,NA
1928-05-03,19.93,NA,NA,NA,NA,NA
1928-05-04,20.24,NA,NA,NA,NA,NA
1928-05-07,20.41,NA,NA,NA,NA,NA
1928-05-08,20.27,NA,NA,NA,NA,NA
1928-05-09,20.24,NA,NA,NA,NA,NA
1928-05-10,20.21,NA,NA,NA,NA,NA
1928-05-11,20.36,NA,NA,NA,NA,NA
1928-05-14,20.44,NA,NA,NA,NA,NA
1928-05-15,20.39,NA,NA,NA,NA,NA
1928-05-16,20.05,NA,NA,NA,NA,NA
1928-05-17,20.12,NA,NA,NA,NA,NA
1928-05-18,19.92,NA,NA,NA,NA,NA
1928-05-21,19.63,NA,NA,NA,NA,NA
1928-05-22,19.36,NA,NA,NA,NA,NA
1928-05-23,19.75,NA,NA,NA,NA,NA
1928-05-24,19.87,NA,NA,NA,NA,NA
1928-05-25,19.9,NA,NA,NA,NA,NA
1928-05-28,19.57,NA,NA,NA,NA,NA
1928-05-29,19.82,NA,NA,NA,NA,NA
1928-05-31,20,NA,NA,NA,NA,NA
1928-06-01,20.07,NA,NA,NA,NA,NA
1928-06-04,19.8,NA,NA,NA,NA,NA
1928-06-05,19.85,NA,NA,NA,NA,NA
1928-06-06,19.66,NA,NA,NA,NA,NA
1928-06-07,19.61,NA,NA,NA,NA,NA
1928-06-08,19.37,NA,NA,NA,NA,NA
1928-06-11,18.68,NA,NA,NA,NA,NA
1928-06-12,18.34,NA,NA,NA,NA,NA
1928-06-13,18.89,NA,NA,NA,NA,NA
1928-06-14,19.05,NA,NA,NA,NA,NA
1928-06-15,18.74,NA,NA,NA,NA,NA
1928-06-18,18.4,NA,NA,NA,NA,NA
1928-06-19,18.34,NA,NA,NA,NA,NA
1928-06-20,18.57,NA,NA,NA,NA,NA
1928-06-21,18.56,NA,NA,NA,NA,NA
1928-06-22,18.54,NA,NA,NA,NA,NA
1928-06-25,18.47,NA,NA,NA,NA,NA
1928-06-26,18.68,NA,NA,NA,NA,NA
1928-06-27,18.86,NA,NA,NA,NA,NA
1928-06-28,19.07,NA,NA,NA,NA,NA
1928-06-29,19.14,NA,NA,NA,NA,NA
1928-07-02,18.98,NA,NA,NA,NA,NA
1928-07-03,19.29,NA,NA,NA,NA,NA
