date,copper
1/1/1960,715.40
2/1/1960,728.19
3/1/1960,684.94
4/1/1960,723.11
5/1/1960,684.75
6/1/1960,691.59
7/1/1960,702.39
8/1/1960,675.94
9/1/1960,647.06
10/1/1960,612.66
11/1/1960,642.13
12/1/1960,636.91
1/1/1961,606.71
2/1/1961,616.63
3/1/1961,621.26
4/1/1961,631.84
5/1/1961,668.44
6/1/1961,652.12
7/1/1961,633.39
8/1/1961,636.47
9/1/1961,632.72
10/1/1961,630.30
11/1/1961,632.28
12/1/1961,634.85
1/1/1962,635.37
2/1/1962,647.94
3/1/1962,647.50
4/1/1962,645.95
5/1/1962,645.73
6/1/1962,645.51
7/1/1962,645.51
8/1/1962,645.51
9/1/1962,645.51
10/1/1962,645.95
11/1/1962,645.51
12/1/1962,645.73
1/1/1963,645.51
2/1/1963,645.51
3/1/1963,645.51
4/1/1963,645.73
5/1/1963,645.51
6/1/1963,645.73
7/1/1963,645.51
8/1/1963,645.51
9/1/1963,645.51
10/1/1963,645.51
11/1/1963,645.73
12/1/1963,650.14
1/1/1964,655.65
2/1/1964,693.79
3/1/1964,745.16
4/1/1964,861.56
5/1/1964,828.28
6/1/1964,808.43
7/1/1964,854.95
8/1/1964,999.33
9/1/1964,1162.05
10/1/1964,1358.27
11/1/1964,1400.37
12/1/1964,1269.20
1/1/1965,1000.68
2/1/1965,1179.91
3/1/1965,1237.23
4/1/1965,1348.34
5/1/1965,1378.55
6/1/1965,1308.88
7/1/1965,1134.06
8/1/1965,1209.90
9/1/1965,1327.84
10/1/1965,1401.92
11/1/1965,1469.16
12/1/1965,1517.66
1/1/1966,1679.04
2/1/1966,1874.37
3/1/1966,1874.81
4/1/1966,1907.44
5/1/1966,1663.61
6/1/1966,1695.79
7/1/1966,1567.93
8/1/1966,1195.34
9/1/1966,1128.32
10/1/1966,1275.37
11/1/1966,1301.61
12/1/1966,1214.53
1/1/1967,1243.85
2/1/1967,1220.48
3/1/1967,1098.34
4/1/1967,994.72
5/1/1967,1036.17
6/1/1967,1015.22
7/1/1967,997.37
8/1/1967,1044.55
9/1/1967,1060.20
10/1/1967,1138.47
11/1/1967,1443.81
12/1/1967,1324.09
1/1/1968,1408.75
2/1/1968,1719.82
3/1/1968,1701.08
4/1/1968,1255.09
5/1/1968,1096.58
6/1/1968,1136.70
7/1/1968,1054.25
8/1/1968,1056.45
9/1/1968,1110.03
10/1/1968,1079.82
11/1/1968,1099.88
12/1/1968,1184.98
1/1/1969,1255.53
2/1/1969,1285.29
3/1/1969,1278.46
4/1/1969,1388.03
5/1/1969,1392.44
6/1/1969,1483.04
7/1/1969,1453.95
8/1/1969,1606.73
9/1/1969,1578.95
10/1/1969,1554.48
11/1/1969,1631.42
12/1/1969,1699.76
1/1/1970,1626.30
2/1/1970,1657.20
3/1/1970,1754.00
4/1/1970,1741.60
5/1/1970,1597.90
6/1/1970,1458.00
7/1/1970,1366.60
8/1/1970,1266.50
9/1/1970,1246.90
10/1/1970,1142.40
11/1/1970,1085.30
12/1/1970,1045.70
1/1/1971,1010.00
2/1/1971,1020.20
3/1/1971,1144.10
4/1/1971,1251.50
5/1/1971,1114.40
6/1/1971,1074.20
7/1/1971,1115.30
8/1/1971,1097.90
9/1/1971,1056.40
10/1/1971,1041.20
11/1/1971,1013.90
12/1/1971,1037.90
1/1/1972,1078.00
2/1/1972,1112.40
3/1/1972,1108.20
4/1/1972,1133.00
5/1/1972,1106.40
6/1/1972,1063.20
7/1/1972,1034.60
8/1/1972,1046.70
9/1/1972,1060.60
10/1/1972,917.50
11/1/1972,1007.10
12/1/1972,1024.40
1/1/1973,1119.00
2/1/1973,1243.60
3/1/1973,1509.50
4/1/1973,1588.40
5/1/1973,1552.20
6/1/1973,1748.70
7/1/1973,2021.20
8/1/1973,2123.00
9/1/1973,1936.10
10/1/1973,2065.30
11/1/1973,2273.00
12/1/1973,2244.30
1/1/1974,2032.40
2/1/1974,2291.70
3/1/1974,2743.40
4/1/1974,3031.80
5/1/1974,2875.70
6/1/1974,2440.00
7/1/1974,1919.10
8/1/1974,1802.90
9/1/1974,1460.50
10/1/1974,1398.80
11/1/1974,1416.70
12/1/1974,1289.00
1/1/1975,1211.20
2/1/1975,1266.50
3/1/1975,1344.20
4/1/1975,1329.20
5/1/1975,1253.80
6/1/1975,1193.00
7/1/1975,1222.40
8/1/1975,1277.10
9/1/1975,1210.10
10/1/1975,1178.80
11/1/1975,1179.70
12/1/1975,1151.00
1/1/1976,1193.00
2/1/1976,1219.00
3/1/1976,1329.00
4/1/1976,1510.00
5/1/1976,1512.00
6/1/1976,1550.00
7/1/1976,1647.00
8/1/1976,1539.00
9/1/1976,1459.00
10/1/1976,1285.00
11/1/1976,1279.00
12/1/1976,1287.00
1/1/1977,1396.00
2/1/1977,1426.00
3/1/1977,1515.00
4/1/1977,1429.00
5/1/1977,1371.00
