"date","SPY","XLB","XLE","XLF","XLI","XLK","XLP","XLU","XLV","XLY"
1993-01-29,NA,NA,43.9375,NA,NA,NA,NA,NA,NA,NA
1993-02-01,NA,NA,44.25,NA,NA,NA,NA,NA,NA,NA
1993-02-02,NA,NA,44.3438,NA,NA,NA,NA,NA,NA,NA
1993-02-03,NA,NA,44.8125,NA,NA,NA,NA,NA,NA,NA
1993-02-04,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
1993-02-05,NA,NA,44.9688,NA,NA,NA,NA,NA,NA,NA
1993-02-08,NA,NA,44.9688,NA,NA,NA,NA,NA,NA,NA
1993-02-09,NA,NA,44.6563,NA,NA,NA,NA,NA,NA,NA
1993-02-10,NA,NA,44.7188,NA,NA,NA,NA,NA,NA,NA
1993-02-11,NA,NA,44.9375,NA,NA,NA,NA,NA,NA,NA
1993-02-12,NA,NA,44.5938,NA,NA,NA,NA,NA,NA,NA
1993-02-16,NA,NA,43.4688,NA,NA,NA,NA,NA,NA,NA
1993-02-17,NA,NA,43.4375,NA,NA,NA,NA,NA,NA,NA
1993-02-18,NA,NA,43.4063,NA,NA,NA,NA,NA,NA,NA
1993-02-19,NA,NA,43.5625,NA,NA,NA,NA,NA,NA,NA
1993-02-22,NA,NA,43.7188,NA,NA,NA,NA,NA,NA,NA
1993-02-23,NA,NA,43.6875,NA,NA,NA,NA,NA,NA,NA
1993-02-24,NA,NA,44.25,NA,NA,NA,NA,NA,NA,NA
1993-02-25,NA,NA,44.3438,NA,NA,NA,NA,NA,NA,NA
1993-02-26,NA,NA,44.4063,NA,NA,NA,NA,NA,NA,NA
1993-03-01,NA,NA,44.2813,NA,NA,NA,NA,NA,NA,NA
1993-03-02,NA,NA,44.9375,NA,NA,NA,NA,NA,NA,NA
1993-03-03,NA,NA,45.125,NA,NA,NA,NA,NA,NA,NA
1993-03-04,NA,NA,44.875,NA,NA,NA,NA,NA,NA,NA
1993-03-05,NA,NA,44.75,NA,NA,NA,NA,NA,NA,NA
1993-03-08,NA,NA,45.75,NA,NA,NA,NA,NA,NA,NA
1993-03-09,NA,NA,45.5938,NA,NA,NA,NA,NA,NA,NA
1993-03-10,NA,NA,45.6875,NA,NA,NA,NA,NA,NA,NA
1993-03-11,NA,NA,45.5625,NA,NA,NA,NA,NA,NA,NA
1993-03-12,NA,NA,45.0938,NA,NA,NA,NA,NA,NA,NA
1993-03-15,NA,NA,45.3125,NA,NA,NA,NA,NA,NA,NA
1993-03-16,NA,NA,45.3125,NA,NA,NA,NA,NA,NA,NA
1993-03-17,NA,NA,45.0313,NA,NA,NA,NA,NA,NA,NA
1993-03-18,NA,NA,45.3125,NA,NA,NA,NA,NA,NA,NA
1993-03-19,NA,NA,45.0313,NA,NA,NA,NA,NA,NA,NA
1993-03-22,NA,NA,44.7813,NA,NA,NA,NA,NA,NA,NA
1993-03-23,NA,NA,44.875,NA,NA,NA,NA,NA,NA,NA
