date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2023-06-05,0.10801140,0.35340388,0.21236948,0.00001650,0.32619874,0.00037788,0.00037788,5,1,0.99999549,5,0.00000000
2023-06-06,0.00000160,0.35340582,0.29905312,0.00000052,0.34753894,0.00164106,0.00201894,5,2,0.99818324,5,0.10802578
2023-06-07,0.00000172,0.35340586,0.29905324,0.00000004,0.34753914,-0.00607911,-0.00406016,5,1,0.99998912,5,0.00000048
2023-06-08,0.00000051,0.35340663,0.29905354,0.00000006,0.34753925,0.00348989,-0.00057027,5,2,0.99999984,5,0.00000121
2023-06-09,0.00000011,0.35340647,0.29905356,0.00000079,0.34753907,-0.00097749,-0.00154776,5,1,1.00000000,5,0.00000075
2023-06-12,0.00000000,0.35340547,0.29905327,0.00000326,0.34753800,0.00044161,-0.00110615,5,1,0.99999986,5,0.00000246
2023-06-13,0.00005545,0.35338780,0.29903466,0.00000000,0.34752209,-0.00583069,-0.00693684,5,1,0.99999739,5,0.00005545
2023-06-14,0.00000000,0.35338777,0.29903451,0.00000000,0.34757772,-0.00107584,-0.00801268,5,2,0.99999998,5,0.00005563
2023-06-15,0.00001054,0.35338418,0.29903077,0.00000000,0.34757451,0.00285651,-0.00515617,5,1,0.99994819,5,0.00001054
2023-06-16,0.00000234,0.35338420,0.29903080,0.00000000,0.34758266,-0.00137158,-0.00652775,5,2,0.99994524,5,0.00000820
2023-06-20,0.00002451,0.35337664,0.29902290,0.00000000,0.34757595,-0.00106861,-0.00759636,5,1,0.99999611,5,0.00002217
2023-06-21,0.60000000,0.18822681,0.00000000,0.21177319,0.00000000,0.00069736,-0.00689900,5,3,0.99981308,5,0.81174868
2023-06-22,0.60002677,0.18818915,0.00000059,0.21178323,0.00000027,-0.00721374,-0.01411273,5,3,0.99999365,5,0.00003766
2023-06-23,0.60002293,0.18818712,0.00000053,0.21178925,0.00000017,-0.00417534,-0.01828808,5,3,0.99992961,5,0.00000602
2023-06-26,0.60001969,0.18818812,0.00000105,0.21179033,0.00000081,-0.00118446,-0.01947253,5,3,0.99955419,5,0.00000324
2023-06-27,0.24150263,0.46578420,0.23298250,0.00000001,0.05973066,-0.00009940,-0.01957194,5,0,0.99999677,5,0.57030738
2023-06-28,0.24150263,0.46578411,0.23298254,0.00000000,0.05973072,0.00151941,-0.01805252,5,1,0.99999993,5,0.00000010
2023-06-29,0.60000000,0.22935146,0.00000000,0.17064854,0.00000000,0.00150778,-0.01654474,5,3,0.99999191,5,0.52914591
2023-06-30,0.56163336,0.32642902,0.08098330,0.03095432,0.00000000,0.00838575,-0.00815899,5,1,0.99991065,5,0.17806086
2023-07-03,0.60000000,0.24086139,0.00000000,0.15913861,0.00000000,-0.00074620,-0.00890519,5,3,0.99927526,5,0.16655093
2023-07-05,0.59999920,0.24086084,0.00000000,0.15913996,0.00000000,0.00074324,-0.00816195,5,3,0.99967142,5,0.00000135
2023-07-06,0.59999921,0.24086019,0.00000000,0.15914060,0.00000000,-0.00721641,-0.01537836,5,3,0.99999968,5,0.00000065
2023-07-07,0.59999807,0.33182192,0.06310699,0.00507189,0.00000112,-0.00156084,-0.01693920,5,1,0.98968064,5,0.15406984
2023-07-10,0.59999852,0.22038057,0.01729588,0.16232407,0.00000097,0.00182754,-0.01511167,5,3,0.99999158,5,0.15725262
2023-07-11,0.59999876,0.33001429,0.05122236,0.01876353,0.00000106,0.00533857,-0.00977309,5,1,0.99993613,5,0.14356053
2023-07-12,0.60001046,0.33003165,0.05123764,0.01870179,0.00001846,0.00855803,-0.00121506,6,1,0.99999999,5,0.00006175
2023-07-13,0.60001728,0.33004520,0.05124957,0.01865592,0.00003203,0.00816261,0.00694755,6,1,0.99981259,5,0.00004586
2023-07-14,0.60002778,0.33006635,0.05126795,0.01858489,0.00005303,-0.00285673,0.00409082,6,1,1.00000000,5,0.00007103
2023-07-17,0.60002725,0.20893998,0.05127793,0.13970334,0.00005150,0.00083656,0.00492738,6,3,0.99999928,5,0.12112843
2023-07-18,0.60002162,0.20894064,0.05127867,0.13970464,0.00005444,0.00794315,0.01287053,6,3,0.99999999,5,0.00000564
2023-07-19,0.60001878,0.20893825,0.05127628,0.13971149,0.00005520,0.00157667,0.01444720,6,3,0.99999555,5,0.00000761
2023-07-20,0.60001637,0.20893504,0.05127313,0.13971602,0.00005943,-0.00524989,0.00919731,6,3,0.99957005,5,0.00000877
2023-07-21,0.60001171,0.30918475,0.05127183,0.03947148,0.00006023,0.00083547,0.01003278,6,1,0.99999996,5,0.10025051
2023-07-24,0.60001068,0.22339501,0.05127127,0.12525555,0.00006750,0.00471152,0.01474430,6,3,1.00000000,5,0.08579134
2023-07-25,0.60000554,0.30156416,0.05127201,0.04708824,0.00007005,0.00171834,0.01646264,6,1,1.00000000,5,0.07817245
2023-07-26,0.60000666,0.23043846,0.05127247,0.11820447,0.00007794,0.00011306,0.01657570,6,3,0.99988192,5,0.07112570
2023-07-27,0.60000520,0.23043820,0.05127367,0.11820495,0.00007797,-0.00592217,0.01065352,6,3,0.99999930,5,0.00000171
2023-07-28,0.60000548,0.23043823,0.05127409,0.11820474,0.00007746,0.00814064,0.01879416,6,3,1.00000000,5,0.00000073
